"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau"
"04/30/2018 08:45:41:518 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","26","0","30"
"[run number]","N","tau","p","[step]","total-wealth","sum [wealth] of turtles with [ strategy = 0 ]","sum [wealth] of turtles with [ strategy = 1 ]","sum [wealth] of turtles with [ strategy = 2 ]","sum [wealth] of turtles with [ strategy = 3 ]"
"7","50","0.05","1","7","380.50000000000006","187.508492956319","192.99150704368097","0","0"
"6","50","0.05","1","17","693.75","367.62703630613123","326.12296369386866","0","0"
"4","50","0","1","11","568.0000000000002","288.2562426680074","279.7437573319927","0","0"
"2","50","0","1","6","176","88","88","0","0"
"3","50","0","1","14","571.0000000000001","277.5238095238096","293.4761904761905","0","0"
"1","50","0","1","6","298.99999999999994","159.08202323991796","139.91797676008207","0","0"
"7","50","0.05","1","8","386.75","188.50849295631903","198.24150704368094","0","0"
"6","50","0.05","1","18","740.7499999999998","396.6179453970403","344.1320546029596","0","0"
"4","50","0","1","12","617.0000000000002","305.6475470158335","311.3524529841666","0","0"
"3","50","0","1","15","581","278.5238095238095","302.4761904761905","0","0"
"2","50","0","1","7","226","109","117","0","0"
"5","50","0","1","19","749","349.345943250749","399.6540567492513","0","0"
"1","50","0","1","7","428.99999999999983","234.43555859345332","194.56444140654673","0","0"
"7","50","0.05","1","9","437.79999999999995","216.17515962298566","221.62484037701432","0","0"
"6","50","0.05","1","19","792.9000000000001","428.61794539704033","364.2820546029596","0","0"
"4","50","0","1","13","707","358.9808803491668","348.01911965083315","0","0"
"2","50","0","1","8","235","110","125","0","0"
"5","50","0","1","20","794.9999999999999","375.3459432507488","419.65405674925125","0","0"
"8","50","0.05","1","2","60.35000000000003","30.816666666666666","29.533333333333328","0","0"
"1","50","0","1","8","479.99999999999983","260.31791153462984","219.68208846537024","0","0"
"6","50","0.05","1","20","839.9999999999999","453.97249085158586","386.02750914841414","0","0"
"7","50","0.05","1","10","446.09999999999985","217.17515962298566","228.92484037701425","0","0"
"4","50","0","1","14","720.0000000000002","358.9808803491668","361.0191196508331","0","0"
"5","50","0","1","21","842","401.3459432507489","440.65405674925137","0","0"
"2","50","0","1","9","281","129","152","0","0"
"1","50","0","1","9","489.99999999999994","260.3179115346299","229.68208846537024","0","0"
"6","50","0.05","1","21","886.9499999999997","481.69857780810764","405.2514221918924","0","0"
"8","50","0.05","1","3","192.59999999999994","106.4049019607843","86.1950980392157","0","0"
"2","50","0","1","10","329","152","177","0","0"
"6","50","0.05","1","22","929.4499999999998","507.29857780810744","422.1514221918925","0","0"
"3","50","0","1","16","632","305.5238095238096","326.4761904761905","0","0"
"4","50","0","1","15","809.0000000000003","413.52633489462136","395.4736651053787","0","0"
"1","50","0","1","10","495.9999999999999","260.31791153462984","235.6820884653702","0","0"
"6","50","0.05","1","23","933.6499999999999","508.24857780810754","425.40142219189244","0","0"
"2","50","0","1","11","338","153","185","0","0"
"3","50","0","1","17","645.0000000000001","306.52380952380946","338.4761904761905","0","0"
"4","50","0","1","16","822.0000000000003","413.52633489462136","408.47366510537864","0","0"
"7","50","0.05","1","11","493.24999999999994","244.84182628965235","248.4081737103476","0","0"
"6","50","0.05","1","24","982.9999999999999","538.3394868990165","444.6605131009833","0","0"
"1","50","0","1","11","502.9999999999999","260.3179115346299","242.68208846537027","0","0"
"8","50","0.05","1","4","200.79999999999998","107.35490196078429","93.4450980392157","0","0"
"2","50","0","1","12","387.00000000000006","175.0526315789474","211.94736842105266","0","0"
"4","50","0","1","17","957.0000000000002","501.6309100580198","455.36908994197995","0","0"
"3","50","0","1","18","695.0000000000002","328.34199134199145","366.65800865800867","0","0"
"6","50","0.05","1","25","993.1999999999999","538.2894868990167","454.9105131009834","0","0"
"1","50","0","1","12","589","303.6512448679632","285.3487551320369","0","0"
"4","50","0","1","18","1005","525.1603218227258","479.83967817727404","0","0"
"2","50","0","1","13","472.00000000000017","219.1295546558704","252.8704453441295","0","0"
"5","50","0","1","22","891.9999999999999","426.60910114548574","465.3908988545145","0","0"
"6","50","0.05","1","26","998.4999999999999","538.2894868990164","460.2105131009834","0","0"
"7","50","0.05","1","12","503.5500000000001","245.84182628965235","257.70817371034764","0","0"
"4","50","0","1","19","1011.9999999999995","525.1603218227259","486.839678177274","0","0"
"2","50","0","1","14","515.0000000000002","242.9866975130132","272.01330248698673","0","0"
"1","50","0","1","13","640.0000000000003","327.18065663266907","312.81934336733093","0","0"
"3","50","0","1","19","704.0000000000001","329.3419913419914","374.6580086580086","0","0"
"5","50","0","1","23","900.9999999999998","426.6091011454857","474.3908988545145","0","0"
"6","50","0.05","1","27","1082.6999999999996","571.0167596262894","511.68324037371076","0","0"
"8","50","0.05","1","5","329","177.30490196078432","151.6950980392157","0","0"
"7","50","0.05","1","13","509.84999999999997","246.84182628965235","263.0081737103476","0","0"
"2","50","0","1","15","527.0000000000002","243.98669751301324","283.01330248698673","0","0"
"4","50","0","1","20","1103.0000000000002","581.1603218227258","521.8396781772741","0","0"
"1","50","0","1","14","650.0000000000001","327.180656632669","322.8193433673309","0","0"
"6","50","0.05","1","28","1090.95","571.0167596262893","519.9332403737105","0","0"
"7","50","0.05","1","14","553.1999999999998","269.66000810783413","283.5399918921658","0","0"
"2","50","0","1","16","533.0000000000001","244.98669751301327","288.0133024869866","0","0"
"4","50","0","1","21","1150","604.318216559568","545.681783440432","0","0"
"1","50","0","1","15","660.0000000000001","327.18065663266907","332.81934336733093","0","0"
"6","50","0.05","1","29","1096.0500000000002","571.0167596262893","525.0332403737106","0","0"
"3","50","0","1","20","709.0000000000002","330.34199134199145","378.6580086580086","0","0"
"7","50","0.05","1","15","562.35","270.6100081078342","291.73999189216585","0","0"
"2","50","0","1","17","582.0000000000001","264.9340659340659","317.0659340659341","0","0"
"4","50","0","1","22","1200.9999999999998","624.318216559568","576.6817834404319","0","0"
"6","50","0.05","1","30","1102.3000000000002","571.0167596262895","531.2832403737107","0","0"
"8","50","0.05","1","6","341.14999999999986","178.3049019607843","162.84509803921569","0","0"
"2","50","0","1","18","592.0000000000001","265.9340659340659","326.0659340659341","0","0"
"7","50","0.05","1","16","613.6","298.22667477450085","315.3733252254991","0","0"
"1","50","0","1","16","669","327.18065663266896","341.819343367331","0","0"
"4","50","0","1","23","1208.0000000000002","624.318216559568","583.6817834404319","0","0"
"8","50","0.05","1","7","347.3499999999999","179.30490196078432","168.04509803921567","0","0"
"1","50","0","1","17","677.0000000000003","327.18065663266896","349.81934336733093","0","0"
"2","50","0","1","19","602.0000000000002","266.93406593406587","335.0659340659341","0","0"
"5","50","0","1","24","991.9999999999997","478.6091011454857","513.3908988545145","0","0"
"3","50","0","1","21","755.0000000000003","349.9134199134198","405.08658008658006","0","0"
"6","50","0.05","1","31","1106.7","571.0167596262894","535.6832403737105","0","0"
"8","50","0.05","1","8","477.5000000000001","251.36601307189545","226.13398692810455","0","0"
"5","50","0","1","25","1039.9999999999998","505.27576781215237","534.7242321878477","0","0"
"7","50","0.05","1","17","619.8000000000001","299.2266747745008","320.5733252254991","0","0"
"3","50","0","1","22","766.0000000000002","350.91341991341994","415.0865800865801","0","0"
"6","50","0.05","1","32","1116.8500000000001","571.0167596262895","545.8332403737105","0","0"
"2","50","0","1","20","692.0000000000003","311.01098901098896","380.98901098901086","0","0"
"5","50","0","1","26","1048","506.27576781215237","541.7242321878477","0","0"
"1","50","0","1","18","724.0000000000002","348.13303758505003","375.8669624149501","0","0"
"8","50","0.05","1","9","527.6","277.82055852644095","249.77944147355913","0","0"
"4","50","0","1","24","1223.0000000000002","624.3182165595681","598.6817834404319","0","0"
"6","50","0.05","1","33","1165.2499999999998","603.0167596262892","562.2332403737105","0","0"
"2","50","0","1","21","738","331.01098901098896","406.98901098901104","0","0"
"5","50","0","1","27","1054.9999999999998","507.27576781215214","547.7242321878477","0","0"
"7","50","0.05","1","18","674.9000000000001","326.8933414411675","348.00665855883244","0","0"
"3","50","0","1","23","776.0000000000002","350.91341991342006","425.08658008658006","0","0"
"2","50","0","1","22","748.9999999999999","332.01098901098896","416.98901098901104","0","0"
"5","50","0","1","28","1183.0000000000002","576.8471963835808","606.1528036164191","0","0"
"8","50","0.05","1","10","535.7000000000002","278.77055852644094","256.9294414735591","0","0"
"4","50","0","1","25","1353.0000000000002","702.5137052813723","650.4862947186274","0","0"
"1","50","0","1","19","811.9999999999998","397.6568471088595","414.34315289114056","0","0"
"5","50","0","1","29","1190","576.8471963835809","613.1528036164191","0","0"
"2","50","0","1","23","760.0000000000001","332.01098901098896","427.98901098901104","0","0"
"8","50","0.05","1","11","623.9000000000001","317.815796621679","306.08420337832104","0","0"
"7","50","0.05","1","19","722.1000000000003","352.2877858856119","369.8122141143879","0","0"
"3","50","0","1","24","788","351.9134199134199","436.0865800865801","0","0"
"5","50","0","1","30","1234","596.8471963835808","637.1528036164192","0","0"
"2","50","0","1","24","808.0000000000001","356.45543345543336","451.5445665445665","0","0"
"8","50","0.05","1","12","632.0500000000001","318.8157966216789","313.23420337832096","0","0"
"1","50","0","1","20","860.9999999999999","418.5264123262508","442.4735876737492","0","0"
"4","50","0","1","26","1483.0000000000002","782.4134546548058","700.5865453451939","0","0"
"5","50","0","1","31","1279.9999999999995","621.1950224705374","658.8049775294628","0","0"
"2","50","0","1","25","819.0000000000001","357.45543345543354","461.54456654456664","0","0"
"8","50","0.05","1","13","639.2499999999999","319.81579662167894","319.434203378321","0","0"
"7","50","0.05","1","20","772.05","377.23778588561186","394.812214114388","0","0"
"5","50","0","1","32","1288","621.1950224705374","666.8049775294627","0","0"
"3","50","0","1","25","795","351.91341991341983","443.08658008658017","0","0"
"2","50","0","1","26","945.0000000000001","423.7545787545786","521.2454212454212","0","0"
