"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"experiment"
"04/27/2018 19:43:37:811 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","56","0","30"
"[run number]","N","tau","[step]","total-wealth","sum [wealth] of turtles with [ who mod nn = 0 ]","sum [wealth] of turtles with [ who mod nn = 1 ]"
"1","50","0","28","2840.000000000001","471.6363085173154","926.7350844765032"
"7","50","0.05","13","1424.7499999999995","270.50289827131934","438.8946918578497"
"8","50","0.05","46","4419.299999999999","820.5267273490183","1527.8398540743744"
"5","50","0","12","1340.0000000000002","241.4139194139194","454.4967254967255"
"3","50","0","45","4744.999999999999","934.3472083472084","1489.2919302919304"
"6","50","0.05","59","6229.450000000002","1153.1101997589612","2047.4405506945752"
"7","50","0.05","14","1450.9999999999998","282.05289827131935","441.39469185784975"
"1","50","0","29","2938.999999999999","487.9440008250077","951.1966229380416"
"5","50","0","13","1492.0000000000005","265.7472527472528","493.60783660783676"
"8","50","0.05","47","4564.950000000001","849.832787955079","1576.6822783167984"
"6","50","0.05","60","6297.35","1167.454644203406","2071.1627729167976"
"2","50","0","34","3712.000000000001","709.4990200717755","1203.9724309058674"
"7","50","0.05","15","1596.9499999999998","312.58781890624","480.8653267784847"
"4","50","0","39","4297.999999999998","763.5821613313872","1486.5668315745713"
"7","50","0.05","16","1702.5","323.33781890623993","514.4153267784847"
"8","50","0.05","48","4716.799999999999","873.0113593836505","1628.3394211739412"
"3","50","0","46","4890.999999999998","958.4648554060319","1550.7961319726023"
"7","50","0.05","17","1848.45","344.5455112139323","563.9922498554079"
"2","50","0","35","3778.9999999999995","727.4081109808665","1226.1542490876855"
"8","50","0.05","49","4863.75","902.1446927169839","1678.3227545072746"
"6","50","0.05","61","6359.249999999999","1178.4046442034057","2084.7627729167975"
"7","50","0.05","18","1953.0499999999997","354.1955112139322","605.4922498554077"
"7","50","0.05","19","2092.7999999999997","386.37884454726566","646.8200276331855"
"8","50","0.05","50","4965.199999999998","919.8446927169837","1720.922754507275"
"2","50","0","36","3884.0000000000005","761.0747776475331","1254.487582421019"
"4","50","0","40","4406.000000000001","785.9154946647207","1543.900164907905"
"6","50","0.05","62","6457.849999999997","1201.204644203406","2098.8794395834643"
"1","50","0","30","3036.999999999999","491.94400082500766","996.1966229380417"
"3","50","0","47","5038.999999999998","988.8934268346034","1596.0818462583168"
"7","50","0.05","20","2202.199999999999","404.8788445472656","680.4200276331856"
"6","50","0.05","63","6601.749999999999","1222.2879775367392","2161.912772916798"
"4","50","0","41","4509.999999999999","805.3440660932921","1592.6144506221906"
"5","50","0","14","1645.0000000000005","290.4615384615385","546.4649794649795"
"8","50","0.05","51","5064.9","942.5946927169837","1758.4727545072742"
"6","50","0.05","64","6754.549999999998","1241.9879775367392","2232.2794395834644"
"1","50","0","31","3131.9999999999995","495.94400082500766","1040.1966229380416"
"3","50","0","48","5153.000000000001","1001.8934268346034","1634.0818462583168"
"2","50","0","37","4031.9999999999995","784.9319205046758","1292.9161538495903"
"6","50","0.05","65","6900.450000000002","1275.8894926882542","2285.626409280434"
"5","50","0","15","1715.0000000000011","304.7948717948718","565.798312798313"
"4","50","0","42","4534.000000000001","813.344066093292","1598.6144506221904"
"3","50","0","49","5257.999999999999","1032.7116086527851","1654.6273008037713"
"1","50","0","32","3269.0000000000005","513.7588156398225","1079.3077340491527"
"2","50","0","38","4059","794.9319205046759","1296.9161538495905"
"6","50","0.05","66","7051.100000000001","1309.5394926882543","2339.1264092804345"
"4","50","0","43","4635","831.7726375218635","1620.7573077650477"
"7","50","0.05","21","2225.15","413.77884454726563","684.0700276331854"
"5","50","0","16","1822.0000000000005","342.88578088578083","590.6164946164947"
"1","50","0","33","3384.000000000001","532.7588156398224","1126.307734049153"
"6","50","0.05","67","7196.9000000000015","1332.956159354921","2378.0597426137674"
"3","50","0","50","5403.000000000001","1055.6986216397981","1710.1337943102649"
"2","50","0","39","4208.000000000001","827.2046477774032","1352.825244758681"
"5","50","0","17","1976","368.48895548895547","641.4260184260185"
"1","50","0","34","3534.999999999999","548.3951792761861","1206.489552230971"
"6","50","0.05","68","7304.450000000001","1359.7561593549208","2397.6597426137673"
"7","50","0.05","22","2290.2499999999995","432.77884454726563","698.5200276331856"
