"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary mutation-magnitude"
"05/07/2018 23:07:05:844 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","26","0","15"
"[run number]","percent-to-replace","N","mutation-magnitude","tau","p","num-variants","[step]","total-wealth","get-for-pool recent-agent-history 0","get-for-pool recent-agent-history 1","get-for-pool recent-agent-history 2"
"7","1","50","0.05","0","0","1","16","812.0000000000002","2","19","29"
"8","1","50","0.05","0","0","1","10","583.9999999999999","3","19","28"
"5","1","50","0","0","0","1","18","771.9999999999998","2","24","24"
"4","1","50","0","0","0","1","9","455.9999999999999","0","33","17"
"2","1","50","0","0","0","1","15","839","5","28","17"
"3","1","50","0","0","0","1","10","349.9999999999998","2","20","28"
"6","1","50","0.05","0","0","1","12","499.0000000000003","0","20","30"
"7","1","50","0.05","0","0","1","17","854.0000000000002","2","19","29"
"1","1","50","0","0","0","1","6","391.9999999999999","3","18","29"
"2","1","50","0","0","0","1","16","884","5","28","17"
"5","1","50","0","0","0","1","19","813.9999999999998","2","24","24"
"8","1","50","0.05","0","0","1","11","625.9999999999998","2","20","28"
"7","1","50","0.05","0","0","1","18","855.9999999999999","2","20","28"
"4","1","50","0","0","0","1","10","535.9999999999999","0","31","19"
"6","1","50","0.05","0","0","1","13","620.0000000000002","1","20","29"
"5","1","50","0","0","0","1","20","936.0000000000001","2","24","24"
"2","1","50","0","0","0","1","17","889","5","28","17"
"1","1","50","0","0","0","1","7","515","3","18","29"
"7","1","50","0.05","0","0","1","19","859.0000000000003","3","20","27"
"3","1","50","0","0","0","1","11","351.9999999999999","2","20","28"
"8","1","50","0.05","0","0","1","12","668","2","19","29"
"4","1","50","0","0","0","1","11","535.9999999999998","0","33","17"
"5","1","50","0","0","0","1","21","938.0000000000002","2","24","24"
"2","1","50","0","0","0","1","18","1013.9999999999997","5","28","17"
"1","1","50","0","0","0","1","8","518","3","18","29"
"7","1","50","0.05","0","0","1","20","901","2","20","28"
"8","1","50","0.05","0","0","1","13","710.9999999999999","3","17","30"
"5","1","50","0","0","0","1","22","1059.9999999999998","2","24","24"
"3","1","50","0","0","0","1","12","353.9999999999997","2","20","28"
"2","1","50","0","0","0","1","19","1059","5","28","17"
"7","1","50","0.05","0","0","1","21","983.9999999999995","3","18","29"
"1","1","50","0","0","0","1","9","521","3","18","29"
"4","1","50","0","0","0","1","12","535.9999999999997","0","31","19"
"5","1","50","0","0","0","1","23","1182","2","24","24"
"2","1","50","0","0","0","1","20","1104","5","28","17"
"6","1","50","0.05","0","0","1","14","622.0000000000001","2","18","30"
"7","1","50","0.05","0","0","1","22","1025.9999999999995","2","21","27"
"4","1","50","0","0","0","1","13","576.0000000000002","0","33","17"
"5","1","50","0","0","0","1","24","1183.9999999999995","2","24","24"
"3","1","50","0","0","0","1","13","395.9999999999998","2","20","28"
"2","1","50","0","0","0","1","21","1229","5","28","17"
"7","1","50","0.05","0","0","1","23","1148","2","20","28"
"6","1","50","0.05","0","0","1","15","703.0000000000001","1","16","33"
"1","1","50","0","0","0","1","10","524","3","18","29"
"7","1","50","0.05","0","0","1","24","1231.9999999999995","4","17","29"
"2","1","50","0","0","0","1","22","1274.0000000000007","5","28","17"
"5","1","50","0","0","0","1","25","1305.9999999999998","2","24","24"
"6","1","50","0.05","0","0","1","16","705.0000000000002","2","19","29"
"3","1","50","0","0","0","1","14","397.9999999999997","2","20","28"
"4","1","50","0","0","0","1","14","656.0000000000003","0","31","19"
"8","1","50","0.05","0","0","1","14","793.0000000000002","2","18","30"
"4","1","50","0","0","0","1","15","656.0000000000001","0","33","17"
"6","1","50","0.05","0","0","1","17","746.0000000000001","1","16","33"
"3","1","50","0","0","0","1","15","439.99999999999966","2","20","28"
"7","1","50","0.05","0","0","1","25","1273.9999999999998","2","19","29"
"5","1","50","0","0","0","1","26","1347.9999999999998","2","24","24"
"1","1","50","0","0","0","1","11","526.9999999999999","3","18","29"
"8","1","50","0.05","0","0","1","15","798.0000000000005","5","18","27"
"7","1","50","0.05","0","0","1","26","1357.9999999999995","4","17","29"
"4","1","50","0","0","0","1","16","655.9999999999999","0","31","19"
"3","1","50","0","0","0","1","16","441.9999999999997","2","20","28"
"6","1","50","0.05","0","0","1","18","787.0000000000002","1","18","31"
"8","1","50","0.05","0","0","1","16","841","3","19","28"
"5","1","50","0","0","0","1","27","1390","2","24","24"
"7","1","50","0.05","0","0","1","27","1359","1","20","29"
"4","1","50","0","0","0","1","17","775.9999999999998","0","33","17"
"3","1","50","0","0","0","1","17","443.99999999999955","2","20","28"
"6","1","50","0.05","0","0","1","19","907.9999999999998","1","18","31"
"5","1","50","0","0","0","1","28","1431.9999999999998","2","24","24"
"8","1","50","0.05","0","0","1","17","885.0000000000001","4","19","27"
"2","1","50","0","0","0","1","23","1319","5","28","17"
"1","1","50","0","0","0","1","12","529.9999999999999","3","18","29"
