"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary p, tau=0"
"05/02/2018 08:09:57:117 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","26","0","30"
"[run number]","N","tau","p","[step]","total-wealth","sum [wealth] of turtles with [ strategy = 0 ]","sum [wealth] of turtles with [ strategy = 1 ]"
"7","50","0","0","24","1299.0000000000005","0","1299.0000000000005"
"5","50","0","0","7","508.0000000000001","0","508.0000000000001"
"6","50","0","0","24","1384.9999999999995","0","1384.9999999999995"
"4","50","0","0","13","720","0","720"
"2","50","0","0","11","708","0","708"
"7","50","0","0","25","1395","0","1395"
"5","50","0","0","8","564","0","564"
"8","50","0","0","18","703.0000000000001","0","703.0000000000001"
"7","50","0","0","26","1413.0000000000002","0","1413.0000000000002"
"3","50","0","0","15","922.0000000000001","0","922.0000000000001"
"1","50","0","0","9","592.0000000000001","0","592.0000000000001"
"5","50","0","0","9","622","0","622"
"6","50","0","0","25","1517.9999999999998","0","1517.9999999999998"
"4","50","0","0","14","736.0000000000001","0","736.0000000000001"
"2","50","0","0","12","724","0","724"
"7","50","0","0","27","1473.9999999999998","0","1473.9999999999998"
"5","50","0","0","10","754.9999999999999","0","754.9999999999999"
"8","50","0","0","19","805.9999999999998","0","805.9999999999998"
"3","50","0","0","16","1020","0","1020"
"1","50","0","0","10","651","0","651"
"7","50","0","0","28","1609.0000000000005","0","1609.0000000000005"
"4","50","0","0","15","874.9999999999999","0","874.9999999999999"
"8","50","0","0","20","899","0","899"
"6","50","0","0","26","1571.9999999999998","0","1571.9999999999998"
"2","50","0","0","13","735.0000000000002","0","735.0000000000002"
"4","50","0","0","16","892","0","892"
"8","50","0","0","21","910.9999999999999","0","910.9999999999999"
"6","50","0","0","27","1629.0000000000002","0","1629.0000000000002"
"4","50","0","0","17","908.0000000000001","0","908.0000000000001"
"3","50","0","0","17","1036.9999999999998","0","1036.9999999999998"
"5","50","0","0","11","770.9999999999999","0","770.9999999999999"
"8","50","0","0","22","923.9999999999999","0","923.9999999999999"
"6","50","0","0","28","1644.9999999999995","0","1644.9999999999995"
"7","50","0","0","29","1669.0000000000002","0","1669.0000000000002"
"2","50","0","0","14","749.0000000000001","0","749.0000000000001"
"4","50","0","0","18","965.0000000000001","0","965.0000000000001"
"6","50","0","0","29","1703","0","1703"
"7","50","0","0","30","1688","0","1688"
"5","50","0","0","12","830","0","830"
"4","50","0","0","19","1101.0000000000002","0","1101.0000000000002"
"1","50","0","0","11","701.9999999999999","0","701.9999999999999"
"6","50","0","0","30","1800.0000000000005","0","1800.0000000000005"
"3","50","0","0","18","1057.0000000000002","0","1057.0000000000002"
"4","50","0","0","20","1162.0000000000002","0","1162.0000000000002"
"2","50","0","0","15","809.0000000000003","0","809.0000000000003"
"1","50","0","0","12","754.9999999999998","0","754.9999999999998"
"8","50","0","0","23","944.9999999999997","0","944.9999999999997"
"7","50","0","0","31","1709","0","1709"
"2","50","0","0","16","823.0000000000001","0","823.0000000000001"
"4","50","0","0","21","1178","0","1178"
"8","50","0","0","24","996.9999999999999","0","996.9999999999999"
"3","50","0","0","19","1156.0000000000002","0","1156.0000000000002"
"1","50","0","0","13","771.9999999999998","0","771.9999999999998"
"4","50","0","0","22","1191","0","1191"
"2","50","0","0","17","842.0000000000003","0","842.0000000000003"
"8","50","0","0","25","1011","0","1011"
"7","50","0","0","32","1765.0000000000002","0","1765.0000000000002"
"1","50","0","0","14","791","0","791"
"4","50","0","0","23","1205.0000000000005","0","1205.0000000000005"
"2","50","0","0","18","942.0000000000001","0","942.0000000000001"
"8","50","0","0","26","1067","0","1067"
"5","50","0","0","13","846.9999999999998","0","846.9999999999998"
"1","50","0","0","15","804.9999999999997","0","804.9999999999997"
"6","50","0","0","31","1815.0000000000002","0","1815.0000000000002"
"2","50","0","0","19","1080.9999999999998","0","1080.9999999999998"
"4","50","0","0","24","1213.0000000000005","0","1213.0000000000005"
"8","50","0","0","27","1205.0000000000002","0","1205.0000000000002"
"3","50","0","0","20","1248.9999999999998","0","1248.9999999999998"
"2","50","0","0","20","1094.0000000000002","0","1094.0000000000002"
"4","50","0","0","25","1266.9999999999995","0","1266.9999999999995"
"6","50","0","0","32","1869","0","1869"
"8","50","0","0","28","1338.0000000000002","0","1338.0000000000002"
"5","50","0","0","14","990.9999999999999","0","990.9999999999999"
"3","50","0","0","21","1343.9999999999998","0","1343.9999999999998"
"7","50","0","0","33","1818.9999999999998","0","1818.9999999999998"
"4","50","0","0","26","1362.0000000000002","0","1362.0000000000002"
"3","50","0","0","22","1363.0000000000002","0","1363.0000000000002"
"4","50","0","0","27","1415.9999999999998","0","1415.9999999999998"
"5","50","0","0","15","1086","0","1086"
"6","50","0","0","33","1960","0","1960"
"7","50","0","0","34","1868.0000000000007","0","1868.0000000000007"
"2","50","0","0","21","1237","0","1237"
"3","50","0","0","23","1414.9999999999998","0","1414.9999999999998"
"8","50","0","0","29","1471","0","1471"
"5","50","0","0","16","1143","0","1143"
"2","50","0","0","22","1335","0","1335"
"3","50","0","0","24","1432.9999999999998","0","1432.9999999999998"
"4","50","0","0","28","1431","0","1431"
"7","50","0","0","35","1967.0000000000002","0","1967.0000000000002"
"2","50","0","0","23","1466","0","1466"
"5","50","0","0","17","1277.0000000000002","0","1277.0000000000002"
"3","50","0","0","25","1565.9999999999995","0","1565.9999999999995"
"8","50","0","0","30","1487.9999999999998","0","1487.9999999999998"
"2","50","0","0","24","1522.0000000000002","0","1522.0000000000002"
"7","50","0","0","36","2023.0000000000002","0","2023.0000000000002"
"3","50","0","0","26","1578.0000000000002","0","1578.0000000000002"
"4","50","0","0","29","1486.0000000000002","0","1486.0000000000002"
"2","50","0","0","25","1581.9999999999995","0","1581.9999999999995"
"3","50","0","0","27","1593","0","1593"
"8","50","0","0","31","1546","0","1546"
"5","50","0","0","18","1329.0000000000005","0","1329.0000000000005"
"7","50","0","0","37","2158.999999999999","0","2158.999999999999"
"6","50","0","0","34","1977.9999999999995","0","1977.9999999999995"
"2","50","0","0","26","1673.9999999999998","0","1673.9999999999998"
"3","50","0","0","28","1646","0","1646"
"4","50","0","0","30","1588.0000000000005","0","1588.0000000000005"
"1","50","0","0","16","900.9999999999998","0","900.9999999999998"
"7","50","0","0","38","2221.9999999999995","0","2221.9999999999995"
"8","50","0","0","32","1594.0000000000005","0","1594.0000000000005"
"6","50","0","0","35","2031.9999999999998","0","2031.9999999999998"
"2","50","0","0","27","1734.0000000000005","0","1734.0000000000005"
"5","50","0","0","19","1350.0000000000002","0","1350.0000000000002"
"1","50","0","0","17","913.9999999999999","0","913.9999999999999"
"3","50","0","0","29","1778.0000000000007","0","1778.0000000000007"
"4","50","0","0","31","1605.0000000000002","0","1605.0000000000002"
"7","50","0","0","39","2363.999999999999","0","2363.999999999999"
"6","50","0","0","36","2126.9999999999995","0","2126.9999999999995"
"2","50","0","0","28","1788.9999999999998","0","1788.9999999999998"
"5","50","0","0","20","1364","0","1364"
"8","50","0","0","33","1614.9999999999998","0","1614.9999999999998"
"7","50","0","0","40","2377.0000000000005","0","2377.0000000000005"
"2","50","0","0","29","1804","0","1804"
"6","50","0","0","37","2186","0","2186"
"3","50","0","0","30","1794.0000000000002","0","1794.0000000000002"
"4","50","0","0","32","1624.9999999999995","0","1624.9999999999995"
"7","50","0","0","41","2474.9999999999995","0","2474.9999999999995"
"2","50","0","0","30","1894.9999999999993","0","1894.9999999999993"
"1","50","0","0","18","934.9999999999999","0","934.9999999999999"
"5","50","0","0","21","1381.9999999999998","0","1381.9999999999998"
"8","50","0","0","34","1750.0000000000005","0","1750.0000000000005"
"6","50","0","0","38","2241.9999999999995","0","2241.9999999999995"
"2","50","0","0","31","1949.9999999999998","0","1949.9999999999998"
"5","50","0","0","22","1478","0","1478"
"1","50","0","0","19","951.9999999999997","0","951.9999999999997"
"4","50","0","0","33","1646.0000000000002","0","1646.0000000000002"
"6","50","0","0","39","2265","0","2265"
