"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau, measure pool choices"
"05/05/2018 17:28:23:151 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","26","0","15"
"[run number]","N","tau","p","[step]","total-wealth","get-for-pool recent-agent-history 0","get-for-pool recent-agent-history 1","get-for-pool recent-agent-history 2"
"2","50","0","0","0","0","0","0","0"
"3","50","0","0","0","0","0","0","0"
"7","50","0.05","0","0","0","0","0","0"
"4","50","0","0","0","0","0","0","0"
"5","50","0","0","0","0","0","0","0"
"6","50","0.05","0","0","0","0","0","0"
"4","50","0","0","1","21","21","17","12"
"3","50","0","0","1","14","14","16","20"
"6","50","0.05","0","1","58","18","20","12"
"7","50","0.05","0","1","14","14","15","21"
"8","50","0.05","0","0","0","0","0","0"
"4","50","0","0","2","102.00000000000001","1","26","23"
"5","50","0","0","1","98.99999999999999","19","20","11"
"2","50","0","0","1","54.999999999999986","15","11","24"
"6","50","0.05","0","2","99.20000000000007","3","24","23"
"3","50","0","0","2","93.99999999999999","0","32","18"
"1","50","0","0","0","0","0","0","0"
"5","50","0","0","2","140.99999999999997","2","24","24"
"7","50","0.05","0","2","12.499999999999991","0","18","32"
"8","50","0.05","0","1","56","16","16","18"
"2","50","0","0","2","54.999999999999986","0","33","17"
"4","50","0","0","3","104.00000000000001","2","20","28"
"8","50","0.05","0","2","175.59999999999994","1","26","23"
"6","50","0.05","0","3","106.00000000000003","8","23","19"
"3","50","0","0","3","98.99999999999999","5","10","35"
"5","50","0","0","3","185.99999999999991","5","20","25"
"4","50","0","0","4","113.00000000000001","9","29","12"
"1","50","0","0","1","59.999999999999986","20","11","19"
"3","50","0","0","4","100.99999999999999","2","37","11"
"6","50","0.05","0","4","232.45000000000002","7","16","27"
"7","50","0.05","0","3","94.35000000000005","3","31","16"
"5","50","0","0","4","272.99999999999994","7","28","15"
"3","50","0","0","5","104.99999999999999","4","11","35"
"8","50","0.05","0","3","177.84999999999988","3","22","25"
"6","50","0.05","0","5","277.1499999999998","6","37","7"
"2","50","0","0","3","98.00000000000003","3","19","28"
"7","50","0.05","0","4","176.35","3","14","33"
"5","50","0","0","5","314.99999999999994","2","12","36"
"4","50","0","0","5","116.00000000000001","3","11","36"
"3","50","0","0","6","230.99999999999991","6","28","16"
"6","50","0.05","0","6","320.5","5","12","33"
"8","50","0.05","0","4","267.0499999999999","10","25","15"
"7","50","0.05","0","5","178.84999999999997","4","38","8"
"1","50","0","0","2","141.00000000000003","1","25","24"
"3","50","0","0","7","354.0000000000001","3","18","29"
"8","50","0.05","0","5","272","6","9","35"
"5","50","0","0","6","364.00000000000006","9","31","10"
"7","50","0.05","0","6","184.15000000000003","7","14","29"
"2","50","0","0","4","183.00000000000003","5","32","13"
"4","50","0","0","6","161.99999999999994","6","31","13"
"6","50","0.05","0","7","323.54999999999995","5","34","11"
