"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau"
"04/27/2018 21:50:07:315 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","56","0","30"
"[run number]","N","tau","p","[step]","total-wealth","sum [wealth] of turtles with [ strategy = 0 ]","sum [wealth] of turtles with [ strategy = 1 ]","sum [wealth] of turtles with [ strategy = 2 ]","sum [wealth] of turtles with [ strategy = 3 ]"
"8","50","0.05","1","16","870.2000000000003","185.1180751615534","287.46621494447584","227.06506054332144","170.5506493506494"
"5","50","0","1","4","58","0","16","14","28"
"4","50","0","1","4","334","69.03508771929825","131.96876807403123","85.98515519568153","47.010989010989015"
"8","50","0.05","1","17","1008.9000000000001","211.1180751615534","354.0662149444758","261.76506054332145","181.95064935064934"
"3","50","0","1","13","1088","206.3464714642532","353.4033458950675","271.24102932260155","257.0091533180777"
"6","50","0.05","1","2","189.90000000000003","47.37060041407868","70.70383022774327","49.46128364389234","22.364285714285714"
"7","50","0.05","1","23","1128.7500000000005","161.22217599334306","358.658342234335","248.98808390425026","359.8813978680717"
"5","50","0","1","5","145.99999999999997","0","36.23809523809524","36.04761904761905","73.71428571428571"
"8","50","0.05","1","18","1056.55","240.00696405044232","363.11065938892017","272.0817272099881","181.35064935064938"
"3","50","0","1","14","1094.0000000000002","206.3464714642532","356.4033458950675","274.24102932260155","257.0091533180778"
"2","50","0","1","9","208.00000000000003","38.13333333333334","55.00000000000001","52.2","62.66666666666667"
"1","50","0","1","4","170","22.608695652173918","47.74828375286041","32.11670480549199","67.52631578947368"
"6","50","0.05","1","3","195.55","47.37060041407868","73.35383022774327","53.06128364389233","21.76428571428571"
"7","50","0.05","1","24","1227.3000000000002","161.22217599334306","389.87500890100165","304.9214172375836","371.28139786807174"
"8","50","0.05","1","19","1193.2500000000005","264.768868812347","405.27537800363893","330.4551038333647","192.75064935064938"
"5","50","0","1","6","288.9999999999999","30.58823529411764","79.94397759103641","92.75350140056022","85.71428571428571"
"4","50","0","1","5","352.0000000000001","69.03508771929825","135.96876807403123","87.98515519568151","59.01098901098902"
"6","50","0.05","1","4","214.25","47.37060041407868","79.05383022774328","54.66128364389234","33.16428571428572"
"1","50","0","1","5","192","22.608695652173918","54.74828375286041","35.11670480549199","79.5263157894737"
"8","50","0.05","1","20","1197.8500000000004","264.768868812347","407.8253780036389","333.10510383336464","192.15064935064936"
"5","50","0","1","7","332.99999999999994","53.19693094629156","91.63962976494946","102.44915357447329","85.71428571428571"
"7","50","0.05","1","25","1275.7499999999995","183.83087164551694","402.75979150969727","318.477938976714","370.68139786807166"
"4","50","0","1","6","401.00000000000006","97.92397660818712","148.85765696292015","95.20737741790376","59.010989010989015"
"1","50","0","1","6","243.00000000000003","49.97711670480551","64.95881006864988","48.53775743707094","79.5263157894737"
"8","50","0.05","1","21","1257.4500000000003","290.7688688123471","422.37537800363884","340.75510383336467","203.55064935064937"
"7","50","0.05","1","26","1292.4","183.83087164551694","403.30979150969733","323.1779389767141","382.0813978680716"
"5","50","0","1","8","348.9999999999999","53.19693094629156","92.63962976494948","105.44915357447327","97.71428571428572"
"1","50","0","1","7","269.99999999999994","49.97711670480551","71.95881006864988","56.53775743707094","91.5263157894737"
"4","50","0","1","7","464","123.92397660818719","161.85765696292012","107.20737741790373","71.01098901098902"
"8","50","0.05","1","22","1263.9500000000005","290.7688688123471","426.82537800363883","343.4051038333647","202.95064935064934"
"7","50","0.05","1","27","1296.8999999999996","183.83087164551694","405.90979150969724","325.6779389767141","381.48139786807167"
"1","50","0","1","8","273.99999999999994","49.97711670480551","74.95881006864988","57.53775743707094","91.5263157894737"
"5","50","0","1","9","474.9999999999998","75.80562659846547","119.98124467178174","135.78455730118134","143.42857142857142"
"8","50","0.05","1","23","1283.5000000000005","290.7688688123471","431.42537800363885","346.9551038333647","214.35064935064938"
"1","50","0","1","9","373","49.97711670480551","131.29214340198322","88.20442410373761","103.5263157894737"
"4","50","0","1","8","513.0000000000001","148.6858813700919","175.38146648672964","117.92166313218945","71.01098901098902"
"7","50","0.05","1","28","1320.45","183.83087164551694","411.50979150969727","332.22793897671403","392.88139786807176"
"1","50","0","1","10","380.0000000000001","49.97711670480551","134.29214340198322","92.20442410373761","103.5263157894737"
"2","50","0","1","10","297.0000000000001","38.13333333333334","78.66666666666666","77.53333333333333","102.66666666666667"
"8","50","0.05","1","24","1366.0500000000004","290.7688688123471","455.56383954210037","369.04356537182616","250.67372627372634"
"7","50","0.05","1","29","1363.8500000000004","204.63087164551698","425.70979150969725","341.227938976714","392.28139786807174"
"4","50","0","1","9","572","172.32224500645552","188.10873921400236","128.5580267685531","83.010989010989"
"6","50","0.05","1","5","221.80000000000007","47.37060041407868","82.55383022774328","59.31128364389234","32.56428571428572"
"1","50","0","1","11","478.00000000000017","49.97711670480551","186.2921434019832","126.20442410373762","115.5263157894737"
"8","50","0.05","1","25","1427.6500000000003","316.7688688123471","469.21383954210046","379.59356537182623","262.0737262737263"
"7","50","0.05","1","30","1422.4499999999994","229.3927764074217","436.024077223983","353.3517485005235","403.68139786807166"
"4","50","0","1","10","620.9999999999999","194.93094065862948","200.8043913879154","142.2536789424661","83.01098901098902"
"7","50","0.05","1","31","1470.8499999999995","256.7611974600533","443.6846035397724","367.32280113210254","403.0813978680716"
"6","50","0.05","1","6","244.35000000000005","47.37060041407868","88.10383022774327","64.91128364389235","43.96428571428571"
"1","50","0","1","12","527.0000000000001","77.34553775743706","195.5026697177727","138.62547673531654","115.5263157894737"
"8","50","0.05","1","26","1471.249999999999","341.53077357425184","479.28764906590993","388.95785108611193","261.47372627372624"
"7","50","0.05","1","32","1490.3999999999996","256.7611974600533","448.28460353977243","370.8728011321025","414.48139786807167"
"1","50","0","1","13","548.0000000000002","77.34553775743706","200.5026697177727","142.62547673531657","127.5263157894737"
"5","50","0","1","10","533","100.56753136037024","133.50505419559127","143.49884301546706","155.42857142857142"
"1","50","0","1","14","635.0000000000003","77.34553775743706","221.3447749809306","158.25705568268498","178.0526315789474"
"5","50","0","1","11","658.9999999999998","125.32943612227496","164.99366703203023","171.50919498234077","197.16770186335404"
"3","50","0","1","15","1111.0000000000005","206.3464714642532","358.40334589506756","277.2410293226015","269.0091533180777"
"8","50","0.05","1","27","1531.8499999999997","366.2926783361566","487.5971728754338","405.08642251468336","272.87372627372633"
"4","50","0","1","11","722","194.93094065862948","241.35994694347102","190.6981233869106","95.01098901098901"
"1","50","0","1","15","653.0000000000003","77.34553775743706","223.3447749809306","162.25705568268495","190.0526315789474"
"2","50","0","1","11","356.99999999999994","61.76969696969696","90.75757575757575","89.80606060606063","114.66666666666669"
"7","50","0.05","1","33","1534.7500000000005","278.42786412671995","459.0679368731058","383.3728011321026","413.88139786807164"
"3","50","0","1","16","1159","235.23536035314194","370.2922347839565","284.4632515448238","269.0091533180777"
"5","50","0","1","12","723.9999999999998","151.32943612227504","179.9936670320302","183.50919498234077","209.16770186335404"
"1","50","0","1","16","699","98.14553775743707","240.14477498093058","170.657055682685","190.0526315789474"
"6","50","0.05","1","7","252.20000000000002","47.37060041407868","92.90383022774326","68.56128364389234","43.364285714285714"
"3","50","0","1","17","1216.0000000000005","259.99726511504684","377.00652049824214","297.9870610686333","281.0091533180777"
