"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau, measure pool choices"
"05/05/2018 17:04:01:312 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","26","0","15"
"[run number]","N","tau","p","[step]","total-wealth","get-for-pool recent-agent-history 0","get-for-pool recent-agent-history 1","get-for-pool recent-agent-history 2"
"4","50","0","0","18","1112","35","5","10"
"6","50","0.05","0","16","1046.3","38","8","4"
"3","50","0","0","13","541","30","13","7"
"2","50","0","0","23","1652.0000000000002","40","6","4"
"1","50","0","0","11","980.9999999999998","32","9","9"
"7","50","0.05","0","13","924.1500000000001","33","12","5"
"4","50","0","0","19","1148","36","10","4"
"6","50","0.05","0","17","1201.5500000000002","36","7","7"
"8","50","0.05","0","12","939.25","33","11","6"
"5","50","0","0","13","721","33","11","6"
"3","50","0","0","14","570.9999999999999","30","12","8"
"2","50","0","0","24","1684.0000000000005","32","11","7"
"4","50","0","0","20","1183.0000000000002","35","6","9"
"6","50","0.05","0","18","1272.8500000000004","32","9","9"
"5","50","0","0","14","752.9999999999998","32","13","5"
"2","50","0","0","25","1716.9999999999998","33","9","8"
"7","50","0.05","0","14","998.3","35","11","4"
"4","50","0","0","21","1223","40","3","7"
"3","50","0","0","15","725.9999999999998","35","10","5"
"6","50","0.05","0","19","1312","40","3","7"
"8","50","0.05","0","13","1090.45","32","14","4"
"7","50","0.05","0","15","1078.65","41","5","4"
"4","50","0","0","22","1258","35","5","10"
"6","50","0.05","0","20","1351.4499999999998","40","1","9"
"2","50","0","0","26","1872.0000000000007","35","7","8"
"1","50","0","0","12","1012.9999999999998","32","7","11"
"8","50","0.05","0","14","1118.6499999999996","29","12","9"
"7","50","0.05","0","16","1161.3","43","7","0"
"5","50","0","0","15","785.9999999999999","33","10","7"
"4","50","0","0","23","1296.9999999999998","39","6","5"
"6","50","0.05","0","21","1391.9500000000003","41","4","5"
"8","50","0.05","0","15","1188.9500000000003","31","9","10"
"3","50","0","0","16","762.0000000000001","36","7","7"
"1","50","0","0","13","1048","35","8","7"
"4","50","0","0","24","1333.9999999999998","37","6","7"
"2","50","0","0","27","1942.0000000000002","30","13","7"
"5","50","0","0","16","861","35","7","8"
"6","50","0.05","0","22","1429.3500000000001","38","5","7"
"7","50","0.05","0","17","1195.5500000000006","35","9","6"
"1","50","0","0","14","1118.0000000000002","30","8","12"
"2","50","0","0","28","1977.0000000000002","35","5","10"
"4","50","0","0","25","1407","33","7","10"
"8","50","0.05","0","16","1223.15","35","10","5"
"6","50","0.05","0","23","1467.6499999999999","39","4","7"
"3","50","0","0","17","796.9999999999998","35","6","9"
"5","50","0","0","17","889","28","14","8"
"2","50","0","0","29","2048","31","11","8"
"1","50","0","0","15","1188","30","14","6"
"4","50","0","0","26","1481.9999999999995","35","7","8"
"7","50","0.05","0","18","1269.95","35","10","5"
"8","50","0.05","0","17","1260.4000000000005","38","7","5"
"2","50","0","0","30","2083.0000000000005","35","9","6"
"4","50","0","0","27","1600.9999999999998","39","5","6"
"7","50","0.05","0","19","1384.2499999999998","35","9","6"
"1","50","0","0","16","1214.0000000000002","26","10","14"
"8","50","0.05","0","18","1300.9500000000005","41","4","5"
"6","50","0.05","0","24","1504.0499999999995","37","6","7"
"3","50","0","0","18","869.9999999999999","33","11","6"
"2","50","0","0","31","2121.0000000000005","38","5","7"
"5","50","0","0","18","920","31","12","7"
"4","50","0","0","28","1718.0000000000007","37","3","10"
"1","50","0","0","17","1247","33","12","5"
"7","50","0.05","0","20","1459.55","36","7","7"
"6","50","0.05","0","25","1538.4","35","9","6"
"2","50","0","0","32","2156.0000000000014","35","8","7"
"4","50","0","0","29","1751.9999999999993","34","6","10"
"8","50","0.05","0","19","1378.3000000000002","38","8","4"
"5","50","0","0","19","1028.9999999999998","29","12","9"
"6","50","0.05","0","26","1651.5499999999995","34","8","8"
"2","50","0","0","33","2310.0000000000005","34","8","8"
"7","50","0.05","0","21","1492.7999999999997","34","8","8"
"3","50","0","0","19","1022.9999999999999","33","10","7"
"1","50","0","0","18","1276","29","10","11"
"8","50","0.05","0","20","1414.6","37","5","8"
"4","50","0","0","30","1785.9999999999998","34","4","12"
"5","50","0","0","20","1180","31","10","9"
"6","50","0.05","0","27","1727.7499999999995","37","7","6"
"2","50","0","0","34","2340","30","12","8"
"7","50","0.05","0","22","1642.8999999999992","31","14","5"
"3","50","0","0","20","1057.9999999999998","35","9","6"
"4","50","0","0","31","1818","32","9","9"
"8","50","0.05","0","21","1495.1000000000001","41","1","8"
"2","50","0","0","35","2376","36","7","7"
"5","50","0","0","21","1293.0000000000002","33","10","7"
"1","50","0","0","19","1347.0000000000002","31","9","10"
"4","50","0","0","32","1968.9999999999998","31","8","11"
"3","50","0","0","21","1091.9999999999998","34","7","9"
"8","50","0.05","0","22","1654.65","40","5","5"
"2","50","0","0","36","2449","33","6","11"
"5","50","0","0","22","1330.0000000000002","37","10","3"
"7","50","0.05","0","23","1795.9499999999996","34","10","6"
"4","50","0","0","33","2004.9999999999998","36","9","5"
"6","50","0.05","0","28","1763.9499999999996","37","7","6"
"2","50","0","0","37","2530.9999999999995","42","5","3"
