"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau"
"04/27/2018 21:42:01:915 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","56","0","30"
"[run number]","N","tau","p","[step]","total-wealth","sum [wealth] of turtles with [ strategy = 0 ]","sum [wealth] of turtles with [ strategy = 1 ]"
"6","50","0.05","1","0","0","0","0"
"4","50","0","1","0","0","0","0"
"3","50","0","1","0","0","0","0"
"6","50","0.05","1","1","50","50","0"
"4","50","0","1","1","50","50","0"
"5","50","0","1","0","0","0","0"
"6","50","0.05","1","2","119.00000000000003","119.00000000000003","0"
"2","50","0","1","0","0","0","0"
"6","50","0.05","1","3","147.05","147.05","0"
"4","50","0","1","2","121.99999999999999","121.99999999999999","0"
"6","50","0.05","1","4","232.9499999999999","232.9499999999999","0"
"4","50","0","1","3","186","186","0"
"6","50","0.05","1","5","301.30000000000024","301.30000000000024","0"
"4","50","0","1","4","199.00000000000003","199.00000000000003","0"
"6","50","0.05","1","6","374.85","374.85","0"
"4","50","0","1","5","248.00000000000003","248.00000000000003","0"
"6","50","0.05","1","7","434.84999999999997","434.84999999999997","0"
"4","50","0","1","6","262","262","0"
"6","50","0.05","1","8","566.6499999999997","566.6499999999997","0"
"4","50","0","1","7","311.00000000000006","311.00000000000006","0"
"4","50","0","1","8","320.00000000000006","320.00000000000006","0"
"6","50","0.05","1","9","608.5000000000001","608.5000000000001","0"
"6","50","0.05","1","10","635.7000000000002","635.7000000000002","0"
"8","50","0.05","1","0","0","0","0"
"4","50","0","1","9","442.00000000000006","442.00000000000006","0"
"6","50","0.05","1","11","691.1","691.1","0"
"4","50","0","1","10","491.00000000000006","491.00000000000006","0"
"6","50","0.05","1","12","702.6499999999997","702.6499999999997","0"
"4","50","0","1","11","642.9999999999999","642.9999999999999","0"
"6","50","0.05","1","13","714.5999999999999","714.5999999999999","0"
"4","50","0","1","12","673.9999999999998","673.9999999999998","0"
"6","50","0.05","1","14","799.2499999999997","799.2499999999997","0"
"4","50","0","1","13","807.0000000000001","807.0000000000001","0"
"6","50","0.05","1","15","946.5500000000003","946.5500000000003","0"
"4","50","0","1","14","855","855","0"
"8","50","0.05","1","1","50","50","0"
"4","50","0","1","15","1003.0000000000002","1003.0000000000002","0"
"8","50","0.05","1","2","207.4","207.4","0"
"1","50","0","1","0","0","0","0"
"7","50","0.05","1","0","0","0","0"
"4","50","0","1","16","1078.0000000000005","1078.0000000000005","0"
"5","50","0","1","1","50","50","0"
"6","50","0.05","1","16","1019.7500000000002","1019.7500000000002","0"
"3","50","0","1","1","50","50","0"
"2","50","0","1","1","50","50","0"
"8","50","0.05","1","3","314.74999999999983","314.74999999999983","0"
"6","50","0.05","1","17","1045.55","1045.55","0"
"4","50","0","1","17","1220","1220","0"
"8","50","0.05","1","4","333.2999999999998","333.2999999999998","0"
