"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau, measure pool choices"
"05/01/2018 08:04:47:073 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","26","0","30"
"[run number]","N","tau","p","[step]","total-wealth","get-for-pool recent-agent-history 0","get-for-pool recent-agent-history 1","get-for-pool recent-agent-history 2"
"2","50","0","1","24","1165.000000000001","1","22","27"
"3","50","0","1","15","881.0000000000001","2","18","30"
"4","50","0","1","10","552.0000000000001","6","24","20"
"8","50","0.05","1","16","421.7500000000001","1","23","26"
"6","50","0.05","1","22","952.3500000000003","3","23","24"
"2","50","0","1","25","1206.0000000000002","1","22","27"
"3","50","0","1","16","883.0000000000002","2","19","29"
"8","50","0.05","1","17","462.7500000000001","1","23","26"
"5","50","0","1","13","605.9999999999999","2","29","19"
"4","50","0","1","11","559.0000000000001","7","20","23"
"6","50","0.05","1","23","995.35","3","23","24"
"7","50","0.05","1","11","536.9500000000003","1","24","25"
"2","50","0","1","26","1286.9999999999995","1","22","27"
"3","50","0","1","17","885.0000000000002","2","18","30"
"1","50","0","1","9","272","2","27","21"
"8","50","0.05","1","18","463.74999999999994","1","23","26"
"5","50","0","1","14","647.9999999999998","2","29","19"
"2","50","0","1","27","1287.9999999999995","1","22","27"
"7","50","0.05","1","12","657.9499999999998","1","24","25"
"3","50","0","1","18","927.0000000000001","2","19","29"
"8","50","0.05","1","19","504.7500000000001","1","23","26"
"5","50","0","1","15","649.9999999999999","2","29","19"
"6","50","0.05","1","24","1038.3500000000004","3","23","24"
"2","50","0","1","28","1408.9999999999993","1","22","27"
"1","50","0","1","10","274","2","28","20"
"3","50","0","1","19","1008.9999999999995","2","18","30"
"7","50","0.05","1","13","658.9499999999998","1","24","25"
"5","50","0","1","16","731.9999999999998","2","29","19"
"4","50","0","1","12","567.0000000000002","8","21","21"
"8","50","0.05","1","20","545.7500000000002","1","23","26"
"2","50","0","1","29","1489.9999999999998","1","22","27"
"3","50","0","1","20","1091.0000000000002","2","19","29"
"6","50","0.05","1","25","1121.3500000000001","3","23","24"
"7","50","0.05","1","14","659.9499999999997","1","24","25"
"5","50","0","1","17","854.0000000000005","2","29","19"
"4","50","0","1","13","693","6","24","20"
"8","50","0.05","1","21","546.7500000000001","1","23","26"
"2","50","0","1","30","1531.0000000000005","1","22","27"
"3","50","0","1","21","1132.9999999999998","2","18","30"
"1","50","0","1","11","315.99999999999994","2","27","21"
"6","50","0.05","1","26","1124.3500000000004","3","23","24"
"7","50","0.05","1","15","660.9499999999998","1","24","25"
"5","50","0","1","18","976.0000000000005","2","29","19"
"4","50","0","1","14","739.9999999999998","7","20","23"
"8","50","0.05","1","22","667.7499999999998","1","23","26"
"2","50","0","1","31","1572.0000000000007","1","22","27"
"7","50","0.05","1","16","661.9499999999996","1","24","25"
"3","50","0","1","22","1135","2","19","29"
"5","50","0","1","19","978.0000000000006","2","29","19"
"4","50","0","1","15","788.0000000000001","8","21","21"
"6","50","0.05","1","27","1167.3499999999997","3","23","24"
"8","50","0.05","1","23","668.7500000000002","1","23","26"
"2","50","0","1","32","1573.0000000000007","1","22","27"
"7","50","0.05","1","17","662.9499999999996","1","24","25"
"5","50","0","1","20","1060.0000000000005","2","29","19"
"3","50","0","1","23","1136.9999999999998","2","18","30"
