"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau"
"04/27/2018 21:30:23:341 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","56","0","30"
"[run number]","N","tau","p","[step]","total-wealth","sum [wealth] of turtles with [ strategy = 0 ]","sum [wealth] of turtles with [ strategy = 1 ]"
"3","50","0","0.5","1","81","34","47"
"7","50","0.05","0.5","13","802.3000000000001","377.54708428826075","424.75291571173915"
"1","50","0","0.5","8","389.0000000000001","175.8095238095238","213.19047619047615"
"5","50","0","0.5","9","438","163.92185592185592","274.07814407814413"
"4","50","0","0.5","31","2169.9999999999995","863.6691837574191","1306.3308162425808"
"6","50","0.05","0.5","24","1399.1","449.35737771000925","949.7426222899911"
"7","50","0.05","0.5","14","905.2000000000002","409.7804176215941","495.41958237840595"
"1","50","0","0.5","9","408.00000000000017","184.8095238095238","223.19047619047618"
"4","50","0","0.5","32","2307.000000000001","936.481213832607","1370.518786167393"
"8","50","0.05","0.5","1","152","25","127"
"5","50","0","0.5","10","453","170.92185592185592","282.0781440781441"
"6","50","0.05","0.5","25","1427.5000000000002","464.70737771000927","962.7926222899907"
"7","50","0.05","0.5","15","971.3000000000002","441.0921823274765","530.2078176725237"
"1","50","0","0.5","10","459.00000000000017","197.80952380952382","261.19047619047615"
"4","50","0","0.5","33","2338.000000000001","960.481213832607","1377.5187861673928"
"5","50","0","0.5","11","507.9999999999999","179.6361416361416","328.36385836385836"
"6","50","0.05","0.5","26","1452.1500000000005","480.70737771000927","971.4426222899908"
"7","50","0.05","0.5","16","1038.8500000000001","478.77400050929464","560.0759994907053"
"1","50","0","0.5","11","510.00000000000017","225.80952380952382","284.19047619047615"
"8","50","0.05","0.5","2","267.29999999999995","50","217.29999999999998"
"2","50","0","0.5","1","32","27","5"
"4","50","0","0.5","34","2412.9999999999995","982.4812138326068","1430.518786167393"
"6","50","0.05","0.5","27","1518.9000000000003","502.4462665988981","1016.4537334011018"
"7","50","0.05","0.5","17","1061.4499999999998","497.2240005092947","564.2259994907052"
"1","50","0","0.5","12","604.9999999999999","292.06878306878303","312.9312169312169"
"4","50","0","0.5","35","2562.0000000000005","1049.1478804992737","1512.8521195007263"
"8","50","0.05","0.5","3","335.15","77.75000000000001","257.4"
"5","50","0","0.5","12","519.9999999999999","184.63614163614167","335.36385836385836"
"7","50","0.05","0.5","18","1204.4","558.6906671759614","645.7093328240388"
"6","50","0.05","0.5","28","1669.55","541.2202925729241","1128.3297074270758"
"1","50","0","0.5","13","763","357.0687830687831","405.9312169312169"
"5","50","0","0.5","13","577","188.63614163614164","388.3638583638584"
"4","50","0","0.5","36","2630","1076.8145471659404","1553.1854528340596"
"6","50","0.05","0.5","29","1769.8999999999996","559.5345782872098","1210.36542171279"
"1","50","0","0.5","14","837.9999999999997","387.5132275132276","450.48677248677245"
"7","50","0.05","0.5","19","1272.7999999999997","585.5573338426279","687.242666157372"
"5","50","0","0.5","14","631.0000000000001","196.3028083028083","434.6971916971918"
"4","50","0","0.5","37","2697.9999999999995","1101.258991610385","1596.741008389615"
"2","50","0","0.5","2","103.00000000000001","54","49.000000000000014"
"1","50","0","0.5","15","869.9999999999994","409.51322751322755","460.4867724867725"
"6","50","0.05","0.5","30","1872.3000000000004","590.3345782872098","1281.9654217127904"
"7","50","0.05","0.5","20","1372.6499999999999","639.302571937866","733.3474280621341"
"5","50","0","0.5","15","644.0000000000001","199.3028083028083","444.6971916971917"
"4","50","0","0.5","38","2722.9999999999995","1116.2589916103848","1606.7410083896152"
"8","50","0.05","0.5","4","482.0500000000001","144.39999999999998","337.65000000000003"
"6","50","0.05","0.5","31","1893.9000000000003","597.0345782872098","1296.8654217127905"
"7","50","0.05","0.5","21","1403.2","661.6525719378662","741.5474280621339"
"1","50","0","0.5","16","894.9999999999997","427.51322751322743","467.48677248677245"
"5","50","0","0.5","16","697","202.3028083028083","494.6971916971918"
"4","50","0","0.5","39","2739.999999999999","1126.2589916103852","1613.7410083896152"
"7","50","0.05","0.5","22","1470.3500000000001","689.2192386045326","781.1307613954674"
"1","50","0","0.5","17","910.9999999999995","436.5132275132275","474.48677248677245"
"2","50","0","0.5","3","255","107.1111111111111","147.88888888888889"
"5","50","0","0.5","17","749.9999999999999","204.3028083028083","545.6971916971917"
"8","50","0.05","0.5","5","592.6","164.80000000000004","427.8000000000001"
"6","50","0.05","0.5","32","1950.6500000000003","622.061048875445","1328.5889511245543"
"4","50","0","0.5","40","2795.999999999999","1154.7589916103852","1641.2410083896152"
"7","50","0.05","0.5","23","1536.1499999999996","715.9192386045327","820.2307613954673"
"5","50","0","0.5","18","802.0000000000002","207.65574947927888","594.3442505207212"
"1","50","0","0.5","18","921.9999999999995","440.5132275132275","481.4867724867725"
"6","50","0.05","0.5","33","2014.0000000000005","635.8443822087786","1378.1556177912216"
"5","50","0","0.5","19","820.9999999999998","209.6557494792789","611.3442505207211"
"7","50","0.05","0.5","24","1558.8000000000002","728.4192386045327","830.3807613954672"
"4","50","0","0.5","41","2854.9999999999995","1169.758991610385","1685.241008389615"
"1","50","0","0.5","19","966.9999999999998","465.27513227513225","501.72486772486775"
"5","50","0","0.5","20","871.9999999999998","214.2921131156425","657.7078868843577"
"8","50","0.05","0.5","6","653.45","203.90454545454548","449.54545454545456"
"6","50","0.05","0.5","34","2112.85","673.411048875445","1439.4389511245547"
"2","50","0","0.5","4","327","140.1111111111111","186.88888888888886"
"7","50","0.05","0.5","25","1575.7500000000002","737.2192386045328","838.5307613954675"
"4","50","0","0.5","42","2870.999999999999","1179.7589916103846","1691.2410083896152"
"5","50","0","0.5","21","963.9999999999999","266.720684544214","697.279315455786"
"1","50","0","0.5","20","986.9999999999995","478.27513227513225","508.7248677248678"
"6","50","0.05","0.5","35","2135.3999999999996","689.0610488754452","1446.338951124555"
"8","50","0.05","0.5","7","713.95","225.5272727272727","488.42272727272723"
"7","50","0.05","0.5","26","1715.05","819.8335243188185","895.2164756811815"
"2","50","0","0.5","5","397","173.11111111111114","223.88888888888886"
