"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau, measure pool choices"
"05/05/2018 17:53:08:912 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","26","0","15"
"[run number]","N","tau","p","[step]","total-wealth","get-for-pool recent-agent-history 0","get-for-pool recent-agent-history 1","get-for-pool recent-agent-history 2"
"6","50","0.05","0","14","497.00000000000006","13","26","11"
"4","50","0","0","18","913","4","19","27"
"8","50","0.05","0","16","578.4999999999999","7","41","2"
"1","50","0","0","13","730","15","15","20"
"7","50","0.05","0","15","851.2500000000001","4","4","42"
"2","50","0","0","14","761.0000000000001","8","17","25"
"5","50","0","0","15","930.0000000000002","12","16","22"
"6","50","0.05","0","15","500.05000000000007","5","23","22"
"3","50","0","0","15","783.0000000000001","5","30","15"
"4","50","0","0","19","922.9999999999999","10","27","13"
"7","50","0.05","0","16","862.4999999999999","13","21","16"
"8","50","0.05","0","17","637.7999999999997","21","16","13"
"1","50","0","0","14","777","7","20","23"
"4","50","0","0","20","934.9999999999997","12","14","24"
"6","50","0.05","0","16","507.3499999999999","9","16","25"
"2","50","0","0","15","775","14","16","20"
"3","50","0","0","16","835.0000000000002","12","12","26"
"8","50","0.05","0","18","682.1499999999997","6","11","33"
"4","50","0","0","21","938.9999999999997","4","23","23"
"5","50","0","0","16","973.0000000000002","3","28","19"
"6","50","0.05","0","17","513.85","8","32","10"
"2","50","0","0","16","815.9999999999999","1","36","13"
"7","50","0.05","0","17","862.7999999999998","2","35","13"
"4","50","0","0","22","1028.9999999999998","10","24","16"
"8","50","0.05","0","19","689.3","9","28","13"
"1","50","0","0","15","908","11","28","11"
"3","50","0","0","17","841.0000000000001","6","31","13"
"2","50","0","0","17","875.9999999999999","20","10","20"
"4","50","0","0","23","1076.9999999999998","8","6","36"
"5","50","0","0","17","985.0000000000001","12","16","22"
"6","50","0.05","0","18","525.3","13","16","21"
"8","50","0.05","0","20","814.3999999999999","7","21","22"
"1","50","0","0","16","950.9999999999998","3","12","35"
"5","50","0","0","18","1035.9999999999998","11","19","20"
"2","50","0","0","18","958","2","29","19"
"3","50","0","0","18","852.0000000000003","11","16","23"
"4","50","0","0","24","1089","12","24","14"
"7","50","0.05","0","18","913.15","12","6","32"
"8","50","0.05","0","21","819.5499999999998","7","15","28"
"6","50","0.05","0","19","574.75","11","17","22"
"4","50","0","0","25","1176.9999999999998","8","25","17"
"5","50","0","0","19","1079.9999999999998","4","28","18"
"1","50","0","0","17","964.9999999999998","14","24","12"
"3","50","0","0","19","901.0000000000002","9","22","19"
"7","50","0.05","0","19","959.4500000000002","8","24","18"
"2","50","0","0","19","1055","17","13","20"
"8","50","0.05","0","22","866.0999999999997","8","37","5"
"3","50","0","0","20","1029.0000000000002","8","17","25"
"6","50","0.05","0","20","620.4000000000002","7","27","16"
"4","50","0","0","26","1260.9999999999995","4","6","40"
"5","50","0","0","20","1093","13","8","29"
"7","50","0.05","0","20","966.8000000000003","9","26","15"
"8","50","0.05","0","23","912.6000000000001","8","26","16"
"1","50","0","0","18","1015.9999999999998","11","21","18"
"4","50","0","0","27","1401.0000000000002","20","19","11"
"7","50","0.05","0","21","1010.2500000000001","5","3","42"
"2","50","0","0","20","1098","3","28","19"
"3","50","0","0","21","1122","13","27","10"
"5","50","0","0","21","1102","9","22","19"
"8","50","0.05","0","24","918.0500000000001","7","8","35"
"6","50","0.05","0","21","628.5500000000001","10","11","29"
"4","50","0","0","28","1457.0000000000005","16","20","14"
"2","50","0","0","21","1152.9999999999998","15","9","26"
"8","50","0.05","0","25","927.6000000000001","11","23","16"
"1","50","0","0","19","1020.0000000000001","4","17","29"
"3","50","0","0","22","1133.0000000000002","11","18","21"
"5","50","0","0","22","1109.9999999999998","8","25","17"
"7","50","0.05","0","22","1058.6499999999999","10","23","17"
"4","50","0","0","29","1457.9999999999998","1","18","31"
"8","50","0.05","0","26","971.8999999999999","6","30","14"
"3","50","0","0","23","1180","7","14","29"
"6","50","0.05","0","22","633.8000000000002","7","16","27"
"2","50","0","0","22","1165.0000000000002","12","21","17"
"1","50","0","0","20","1070","10","29","11"
"7","50","0.05","0","23","1146.9499999999998","10","26","14"
"8","50","0.05","0","27","979.3499999999999","9","7","34"
"6","50","0.05","0","23","680.2","8","38","4"
"2","50","0","0","23","1167","2","29","19"
"5","50","0","0","23","1159.9999999999998","10","6","34"
"7","50","0.05","0","24","1191.6999999999998","6","8","36"
"3","50","0","0","24","1310","10","28","12"
"4","50","0","0","30","1509.9999999999998","12","22","16"
"8","50","0.05","0","28","1031.4999999999998","14","21","15"
"6","50","0.05","0","24","816.7499999999998","18","15","17"
"7","50","0.05","0","25","1199.9499999999998","10","23","17"
"5","50","0","0","24","1213.0000000000005","13","24","13"
"1","50","0","0","21","1126","16","16","18"
"3","50","0","0","25","1396","6","25","19"
"2","50","0","0","24","1224.9999999999995","18","6","26"
"6","50","0.05","0","25","866.1999999999998","11","15","24"
"8","50","0.05","0","29","1076.9000000000003","7","26","17"
"4","50","0","0","31","1558.9999999999998","9","26","15"
"3","50","0","0","26","1407.9999999999995","12","8","30"
"7","50","0.05","0","26","1244.2999999999997","6","32","12"
"2","50","0","0","25","1272.9999999999998","8","24","18"
"6","50","0.05","0","26","907.7499999999998","3","30","17"
"1","50","0","0","22","1129.9999999999998","4","17","29"
"5","50","0","0","25","1260.0000000000005","7","24","19"
"8","50","0.05","0","30","1088.2999999999997","13","9","28"
"3","50","0","0","27","1457.9999999999995","10","28","12"
"4","50","0","0","32","1604.9999999999995","6","7","37"
"6","50","0.05","0","27","919.0499999999994","13","10","27"
"8","50","0.05","0","31","1135.6","9","20","21"
"2","50","0","0","26","1282.9999999999998","10","22","18"
"7","50","0.05","0","27","1289.7999999999995","7","7","36"
"5","50","0","0","26","1390.0000000000002","10","7","33"
"4","50","0","0","33","1616","11","21","18"
"3","50","0","0","28","1507","9","22","19"
"6","50","0.05","0","28","1006.0500000000002","9","23","18"
"1","50","0","0","23","1181","11","27","12"
"4","50","0","0","34","1622.9999999999995","7","24","19"
"2","50","0","0","27","1290","7","10","33"
"7","50","0.05","0","28","1301.1999999999994","13","19","18"
"5","50","0","0","27","1440","10","31","9"
"3","50","0","0","29","1515.0000000000005","8","11","31"
"8","50","0.05","0","32","1263.9500000000003","10","26","14"
"4","50","0","0","35","1646","23","11","16"
"1","50","0","0","24","1192.0000000000002","11","17","22"
"2","50","0","0","28","1344","14","25","11"
"6","50","0.05","0","29","1052.0999999999997","8","19","23"
"7","50","0.05","0","29","1381.6499999999999","2","34","14"
"8","50","0.05","0","33","1390.75","8","10","32"
"5","50","0","0","28","1569","9","18","23"
"2","50","0","0","29","1396.9999999999998","13","22","15"
"6","50","0.05","0","30","1106.6","16","20","14"
"4","50","0","0","36","1659","13","15","22"
"1","50","0","0","25","1205.0000000000002","13","16","21"
"8","50","0.05","0","34","1398.0500000000004","9","25","16"
"3","50","0","0","30","1522.0000000000002","7","29","14"
"7","50","0.05","0","30","1430.15","10","8","32"
"6","50","0.05","0","31","1110.7499999999998","6","19","25"
"2","50","0","0","30","1480.9999999999998","4","4","42"
"8","50","0.05","0","35","1441.1000000000004","5","29","16"
"1","50","0","0","26","1248.9999999999998","4","40","6"
"5","50","0","0","29","1661.0000000000002","12","12","26"
"4","50","0","0","37","1660.9999999999993","2","28","20"
"6","50","0.05","0","32","1125.8999999999996","17","16","17"
"3","50","0","0","31","1573.9999999999995","12","20","18"
"7","50","0.05","0","31","1522.2999999999997","14","21","15"
"2","50","0","0","31","1542","21","15","14"
"8","50","0.05","0","36","1490.6999999999998","11","5","34"
"4","50","0","0","38","1713.0000000000002","12","18","20"
"5","50","0","0","30","1662.9999999999998","2","43","5"
"6","50","0.05","0","33","1208.75","5","26","19"
"3","50","0","0","32","1625.0000000000002","11","12","27"
"7","50","0.05","0","32","1526.65","6","30","14"
"1","50","0","0","27","1266.0000000000002","17","12","21"
"6","50","0.05","0","34","1258.7500000000002","12","14","24"
"2","50","0","0","32","1595.9999999999993","14","24","12"
"5","50","0","0","31","1795.0000000000002","12","13","25"
"4","50","0","0","39","1716.9999999999995","4","20","26"
"3","50","0","0","33","1710","5","30","15"
"7","50","0.05","0","33","1574.1500000000003","9","7","34"
"8","50","0.05","0","37","1578.0500000000004","9","22","19"
"6","50","0.05","0","35","1384.8500000000004","8","25","17"
"5","50","0","0","32","1850.9999999999998","16","12","22"
"2","50","0","0","33","1639","3","16","31"
"1","50","0","0","28","1317.9999999999995","12","14","24"
"4","50","0","0","40","1730.9999999999998","14","26","10"
"3","50","0","0","34","1762.9999999999998","13","19","18"
"6","50","0.05","0","36","1427.95","5","27","18"
"2","50","0","0","34","1692.9999999999998","14","26","10"
"4","50","0","0","41","1859.9999999999998","9","17","24"
"7","50","0.05","0","34","1703.6","11","23","16"
"5","50","0","0","33","1890.9999999999995","0","42","8"
"8","50","0.05","0","38","1701.2999999999997","5","34","11"
"3","50","0","0","35","1770.9999999999998","8","16","26"
"4","50","0","0","42","1986.9999999999998","7","18","25"
"1","50","0","0","29","1360.0000000000002","2","37","11"
"2","50","0","0","35","1745.0000000000005","12","22","16"
"5","50","0","0","34","1944.9999999999998","14","18","18"
