"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau, measure pool choices"
"05/05/2018 18:32:22:408 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","26","0","15"
"[run number]","N","tau","p","[step]","total-wealth","get-for-pool recent-agent-history 0","get-for-pool recent-agent-history 1","get-for-pool recent-agent-history 2"
"3","50","0","0","0","0","0","0","0"
"2","50","0","0","0","0","0","0","0"
"8","50","0.05","0","0","0","0","0","0"
"7","50","0.05","0","0","0","0","0","0"
"5","50","0","0","0","0","0","0","0"
"6","50","0.05","0","0","0","0","0","0"
"8","50","0.05","0","1","57","17","20","13"
"1","50","0","0","0","0","0","0","0"
"3","50","0","0","1","21","21","18","11"
"3","50","0","0","2","61.000000000000014","0","22","28"
"8","50","0.05","0","2","95.45000000000006","0","28","22"
"2","50","0","0","1","11","11","21","18"
"4","50","0","0","0","0","0","0","0"
"6","50","0.05","0","1","53.000000000000014","13","19","18"
"7","50","0.05","0","1","62","22","10","18"
"8","50","0.05","0","3","95.85000000000004","1","30","19"
"5","50","0","0","1","62.99999999999998","23","14","13"
"3","50","0","0","3","143.99999999999997","3","18","29"
"2","50","0","0","2","55.000000000000014","4","19","27"
"1","50","0","0","1","18","18","13","19"
"8","50","0.05","0","4","136.7","1","31","18"
"4","50","0","0","1","57.999999999999986","18","17","15"
"3","50","0","0","4","186.99999999999994","3","23","24"
"6","50","0.05","0","2","92.40000000000005","1","19","30"
"5","50","0","0","2","144","1","22","27"
"8","50","0.05","0","5","178.39999999999998","2","27","21"
"3","50","0","0","5","192","5","24","21"
"7","50","0.05","0","2","182.40000000000006","2","22","26"
"8","50","0.05","0","6","300.24999999999994","2","28","20"
"2","50","0","0","3","98.99999999999997","4","25","21"
"3","50","0","0","6","236.00000000000006","4","21","25"
"5","50","0","0","3","146","2","21","27"
"1","50","0","0","2","59.00000000000001","1","21","28"
"3","50","0","0","7","279.99999999999994","4","24","22"
"2","50","0","0","4","143","4","18","28"
"4","50","0","0","2","139.00000000000003","1","26","23"
"5","50","0","0","4","230.00000000000003","4","23","23"
"6","50","0.05","0","3","136.50000000000006","5","25","20"
"3","50","0","0","8","285","5","24","21"
"8","50","0.05","0","7","382.2","2","27","21"
"2","50","0","0","5","227.00000000000006","4","28","18"
"7","50","0.05","0","3","222.80000000000004","1","24","25"
"3","50","0","0","9","288","3","24","23"
"5","50","0","0","5","275","5","24","21"
"6","50","0.05","0","4","219.2000000000001","3","26","21"
"3","50","0","0","10","293.99999999999994","6","23","21"
"2","50","0","0","6","268","1","21","28"
"7","50","0.05","0","4","263.6","1","24","25"
"5","50","0","0","6","278.9999999999999","4","24","22"
"8","50","0.05","0","8","425.15","3","27","20"
"6","50","0.05","0","5","344.0499999999999","5","24","21"
"4","50","0","0","3","184","5","23","22"
"3","50","0","0","11","297.9999999999999","4","24","22"
"2","50","0","0","7","351.9999999999998","4","23","23"
"7","50","0.05","0","5","264.55000000000007","1","25","24"
"8","50","0.05","0","9","428.09999999999997","3","28","19"
"5","50","0","0","7","285","6","22","22"
"4","50","0","0","4","187.99999999999997","4","26","20"
"3","50","0","0","12","302.99999999999994","5","26","19"
"6","50","0.05","0","6","389.0499999999999","5","24","21"
