"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau, measure pool choices"
"04/30/2018 19:53:14:957 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","26","0","30"
"[run number]","N","tau","p","[step]","total-wealth","get-for-pool recent-agent-history 0","get-for-pool recent-agent-history 1","get-for-pool recent-agent-history 2"
"3","50","0","1","12","541","1","33","16"
"1","50","0","1","11","561","2","22","26"
"7","50","0.05","1","15","649.4499999999999","0","22","28"
"4","50","0","1","25","756.9999999999999","1","25","24"
"8","50","0.05","1","18","652.8","2","22","26"
"6","50","0.05","1","12","427.75000000000006","1","26","23"
"5","50","0","1","9","448.00000000000006","4","26","20"
"3","50","0","1","13","620.9999999999998","0","33","17"
"2","50","0","1","18","431.00000000000017","1","24","25"
"1","50","0","1","12","603","2","23","25"
"4","50","0","1","26","758.0000000000001","1","24","25"
"8","50","0.05","1","19","734.7999999999997","2","22","26"
"6","50","0.05","1","13","428.7499999999999","1","26","23"
"2","50","0","1","19","551.9999999999999","1","24","25"
"3","50","0","1","14","622.0000000000001","1","33","16"
"4","50","0","1","27","799.0000000000001","1","25","24"
"1","50","0","1","13","685.0000000000002","2","22","26"
"5","50","0","1","10","490.9999999999997","3","26","21"
"8","50","0.05","1","20","736.8","2","22","26"
"4","50","0","1","28","840.0000000000003","1","24","25"
"7","50","0.05","1","16","689.4499999999997","0","22","28"
"6","50","0.05","1","14","429.74999999999994","1","26","23"
"3","50","0","1","15","621.9999999999999","0","33","17"
"1","50","0","1","14","687","2","23","25"
"8","50","0.05","1","21","818.8000000000002","2","22","26"
"5","50","0","1","11","615","4","26","20"
"4","50","0","1","29","841.0000000000002","1","25","24"
"2","50","0","1","20","553","1","24","25"
"6","50","0.05","1","15","430.74999999999983","1","26","23"
"3","50","0","1","16","702.9999999999999","1","33","16"
"8","50","0.05","1","22","940.8000000000004","2","22","26"
"1","50","0","1","15","688.9999999999999","2","22","26"
"4","50","0","1","30","882.0000000000005","1","24","25"
"7","50","0.05","1","17","729.45","0","22","28"
"5","50","0","1","12","617.9999999999998","3","26","21"
"8","50","0.05","1","23","942.8000000000003","2","22","26"
"6","50","0.05","1","16","551.75","1","26","23"
"3","50","0","1","17","743.0000000000001","0","33","17"
"1","50","0","1","16","810.9999999999998","2","23","25"
"4","50","0","1","31","923.0000000000005","1","25","24"
"2","50","0","1","21","593.9999999999998","1","24","25"
"8","50","0.05","1","24","1024.8000000000006","2","22","26"
"3","50","0","1","18","744.0000000000001","1","33","16"
