"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau"
"04/27/2018 21:32:57:938 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","56","0","30"
"[run number]","N","tau","p","[step]","total-wealth","sum [wealth] of turtles with [ strategy = 0 ]","sum [wealth] of turtles with [ strategy = 1 ]"
"3","50","0","0","6","250.00000000000003","0","250.00000000000003"
"4","50","0","0","5","154","0","154"
"7","50","0.05","0","6","256.90000000000003","0","256.90000000000003"
"7","50","0.05","0","7","310.2000000000001","0","310.2000000000001"
"3","50","0","0","7","264","0","264"
"5","50","0","0","8","652","0","652"
"6","50","0.05","0","9","473.4000000000001","0","473.4000000000001"
"8","50","0.05","0","41","2273.9000000000005","0","2273.9000000000005"
"1","50","0","0","28","1884.999999999999","0","1884.999999999999"
"3","50","0","0","8","279","0","279"
"2","50","0","0","7","394.00000000000017","0","394.00000000000017"
"7","50","0.05","0","8","323.7","0","323.7"
"5","50","0","0","9","788.0000000000001","0","788.0000000000001"
"6","50","0.05","0","10","524.5999999999999","0","524.5999999999999"
"1","50","0","0","29","1937.9999999999998","0","1937.9999999999998"
"8","50","0.05","0","42","2374.2500000000005","0","2374.2500000000005"
"3","50","0","0","9","378.99999999999994","0","378.99999999999994"
"6","50","0.05","0","11","621.9","0","621.9"
"1","50","0","0","30","1961","0","1961"
"2","50","0","0","8","457.00000000000006","0","457.00000000000006"
"3","50","0","0","10","440","0","440"
"5","50","0","0","10","931.0000000000002","0","931.0000000000002"
"4","50","0","0","6","295.00000000000006","0","295.00000000000006"
"8","50","0.05","0","43","2429.45","0","2429.45"
"6","50","0.05","0","12","675.4999999999999","0","675.4999999999999"
"3","50","0","0","11","539.0000000000001","0","539.0000000000001"
"2","50","0","0","9","478.0000000000001","0","478.0000000000001"
"7","50","0.05","0","9","417.24999999999994","0","417.24999999999994"
"5","50","0","0","11","948.0000000000001","0","948.0000000000001"
"1","50","0","0","31","2018.9999999999993","0","2018.9999999999993"
"8","50","0.05","0","44","2489.7","0","2489.7"
"3","50","0","0","12","592","0","592"
"7","50","0.05","0","10","556.3999999999999","0","556.3999999999999"
"5","50","0","0","12","963.0000000000001","0","963.0000000000001"
"2","50","0","0","10","496.00000000000006","0","496.00000000000006"
"4","50","0","0","7","435.0000000000001","0","435.0000000000001"
"3","50","0","0","13","646.9999999999999","0","646.9999999999999"
"7","50","0.05","0","11","609.8000000000002","0","609.8000000000002"
"3","50","0","0","14","663.9999999999999","0","663.9999999999999"
"1","50","0","0","32","2114.9999999999995","0","2114.9999999999995"
"6","50","0.05","0","13","727","0","727"
"3","50","0","0","15","798.0000000000002","0","798.0000000000002"
"5","50","0","0","13","1020.0000000000001","0","1020.0000000000001"
"6","50","0.05","0","14","857.6000000000003","0","857.6000000000003"
"4","50","0","0","8","457.0000000000003","0","457.0000000000003"
"7","50","0.05","0","12","699.75","0","699.75"
"3","50","0","0","16","857","0","857"
"5","50","0","0","14","1154.0000000000002","0","1154.0000000000002"
"6","50","0.05","0","15","908.9000000000002","0","908.9000000000002"
"1","50","0","0","33","2251","0","2251"
"3","50","0","0","17","916","0","916"
"5","50","0","0","15","1263","0","1263"
"7","50","0.05","0","13","718.15","0","718.15"
"2","50","0","0","11","552","0","552"
"1","50","0","0","34","2269","0","2269"
"3","50","0","0","18","971.9999999999999","0","971.9999999999999"
"4","50","0","0","9","516.0000000000002","0","516.0000000000002"
"7","50","0.05","0","14","777.6999999999999","0","777.6999999999999"
"3","50","0","0","19","986.9999999999997","0","986.9999999999997"
"2","50","0","0","12","658.0000000000002","0","658.0000000000002"
"1","50","0","0","35","2322","0","2322"
"3","50","0","0","20","1039","0","1039"
"4","50","0","0","10","576.0000000000001","0","576.0000000000001"
"2","50","0","0","13","790.9999999999998","0","790.9999999999998"
"8","50","0.05","0","45","2541.849999999999","0","2541.849999999999"
"3","50","0","0","21","1054.0000000000002","0","1054.0000000000002"
"1","50","0","0","36","2416","0","2416"
"4","50","0","0","11","631.9999999999999","0","631.9999999999999"
"3","50","0","0","22","1068.0000000000002","0","1068.0000000000002"
"8","50","0.05","0","46","2600","0","2600"
"7","50","0.05","0","15","792.7999999999998","0","792.7999999999998"
"6","50","0.05","0","16","925.0999999999996","0","925.0999999999996"
"1","50","0","0","37","2549.000000000001","0","2549.000000000001"
"5","50","0","0","16","1399","0","1399"
"2","50","0","0","14","886.9999999999999","0","886.9999999999999"
"8","50","0.05","0","47","2652.4","0","2652.4"
"7","50","0.05","0","16","929.1","0","929.1"
"1","50","0","0","38","2605.0000000000005","0","2605.0000000000005"
"7","50","0.05","0","17","978.45","0","978.45"
"5","50","0","0","17","1417.0000000000002","0","1417.0000000000002"
"8","50","0.05","0","48","2703.8499999999995","0","2703.8499999999995"
"1","50","0","0","39","2744.0000000000005","0","2744.0000000000005"
"5","50","0","0","18","1438.0000000000005","0","1438.0000000000005"
"7","50","0.05","0","18","1030.9999999999998","0","1030.9999999999998"
"8","50","0.05","0","49","2758.25","0","2758.25"
"2","50","0","0","15","942.9999999999999","0","942.9999999999999"
"3","50","0","0","23","1169.9999999999998","0","1169.9999999999998"
"1","50","0","0","40","2799.0000000000014","0","2799.0000000000014"
"7","50","0.05","0","19","1039.5","0","1039.5"
"4","50","0","0","12","652.0000000000002","0","652.0000000000002"
"5","50","0","0","19","1452.9999999999998","0","1452.9999999999998"
"2","50","0","0","16","1037.9999999999998","0","1037.9999999999998"
"6","50","0.05","0","17","1060.5","0","1060.5"
"3","50","0","0","24","1183.0000000000002","0","1183.0000000000002"
"7","50","0.05","0","20","1056.8499999999997","0","1056.8499999999997"
"1","50","0","0","41","2823.0000000000005","0","2823.0000000000005"
"2","50","0","0","17","1057.9999999999998","0","1057.9999999999998"
