"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau, measure pool choices"
"05/05/2018 18:27:38:088 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","26","0","15"
"[run number]","N","tau","p","[step]","total-wealth","get-for-pool recent-agent-history 0","get-for-pool recent-agent-history 1","get-for-pool recent-agent-history 2"
"8","50","0.05","0","0","0","0","0","0"
"3","50","0","0","0","0","0","0","0"
"2","50","0","0","0","0","0","0","0"
"6","50","0.05","0","0","0","0","0","0"
"7","50","0.05","0","0","0","0","0","0"
"5","50","0","0","0","0","0","0","0"
"4","50","0","0","0","0","0","0","0"
"3","50","0","0","1","97","17","17","16"
"6","50","0.05","0","1","55","15","16","19"
"2","50","0","0","1","22","22","16","12"
"1","50","0","0","0","0","0","0","0"
"6","50","0.05","0","2","55.45000000000003","2","25","23"
"2","50","0","0","2","23","1","22","27"
"4","50","0","0","1","11","11","15","24"
"8","50","0.05","0","1","51.999999999999986","12","14","24"
"3","50","0","0","2","218.9999999999999","2","21","27"
"7","50","0.05","0","1","13","13","16","21"
"4","50","0","0","2","13","2","24","24"
"5","50","0","0","1","53.999999999999986","14","17","19"
"6","50","0.05","0","3","95.65000000000005","1","23","26"
"8","50","0.05","0","2","91.60000000000005","1","27","22"
"1","50","0","0","1","16","16","14","20"
"1","50","0","0","2","57","1","21","28"
"6","50","0.05","0","4","178.8000000000001","4","24","22"
"2","50","0","0","3","25","2","23","25"
"3","50","0","0","3","300.0000000000001","1","27","22"
"7","50","0.05","0","2","11.549999999999995","0","26","24"
"6","50","0.05","0","5","299.1000000000001","1","24","25"
"2","50","0","0","4","29","4","29","17"
"4","50","0","0","3","94.99999999999999","2","24","24"
"5","50","0","0","2","54.999999999999986","1","29","20"
"3","50","0","0","4","350","10","20","20"
"6","50","0.05","0","6","345.10000000000014","7","23","20"
"1","50","0","0","3","177.99999999999997","1","21","28"
"4","50","0","0","4","98.99999999999997","4","21","25"
"2","50","0","0","5","33","4","22","24"
"3","50","0","0","5","398","8","28","14"
