"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau"
"04/27/2018 21:35:33:103 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","56","0","30"
"[run number]","N","tau","p","[step]","total-wealth","sum [wealth] of turtles with [ strategy = 0 ]","sum [wealth] of turtles with [ strategy = 1 ]"
"7","50","0.05","1","17","1282.5500000000002","1282.5500000000002","0"
"2","50","0","1","15","1215","1215","0"
"4","50","0","1","13","780.0000000000001","780.0000000000001","0"
"6","50","0.05","1","8","525.6999999999998","525.6999999999998","0"
"1","50","0","1","8","434.00000000000006","434.00000000000006","0"
"3","50","0","1","24","1618.0000000000005","1618.0000000000005","0"
"8","50","0.05","1","15","916.75","916.75","0"
"7","50","0.05","1","18","1318.95","1318.95","0"
"2","50","0","1","16","1254.9999999999998","1254.9999999999998","0"
"4","50","0","1","14","905.9999999999994","905.9999999999994","0"
"1","50","0","1","9","461.00000000000006","461.00000000000006","0"
"6","50","0.05","1","9","560.1500000000001","560.1500000000001","0"
"3","50","0","1","25","1659","1659","0"
"8","50","0.05","1","16","986.6999999999998","986.6999999999998","0"
"2","50","0","1","17","1286.0000000000002","1286.0000000000002","0"
"7","50","0.05","1","19","1387.5500000000004","1387.5500000000004","0"
"4","50","0","1","15","990.9999999999991","990.9999999999991","0"
"3","50","0","1","26","1732.0000000000007","1732.0000000000007","0"
"8","50","0.05","1","17","1147.3999999999996","1147.3999999999996","0"
"5","50","0","1","16","1063","1063","0"
"2","50","0","1","18","1310.9999999999998","1310.9999999999998","0"
"6","50","0.05","1","10","625.7","625.7","0"
"7","50","0.05","1","20","1413.4500000000005","1413.4500000000005","0"
"3","50","0","1","27","1844","1844","0"
"8","50","0.05","1","18","1185.4499999999998","1185.4499999999998","0"
"5","50","0","1","17","1137.9999999999998","1137.9999999999998","0"
"7","50","0.05","1","21","1433.1000000000004","1433.1000000000004","0"
"3","50","0","1","28","1879.0000000000005","1879.0000000000005","0"
"2","50","0","1","19","1365.9999999999993","1365.9999999999993","0"
"8","50","0.05","1","19","1297.1","1297.1","0"
"1","50","0","1","10","523.0000000000002","523.0000000000002","0"
"5","50","0","1","18","1282","1282","0"
"7","50","0.05","1","22","1565.7499999999995","1565.7499999999995","0"
"3","50","0","1","29","1904.0000000000005","1904.0000000000005","0"
"2","50","0","1","20","1433.9999999999998","1433.9999999999998","0"
"8","50","0.05","1","20","1371.3499999999997","1371.3499999999997","0"
"4","50","0","1","16","1035.9999999999993","1035.9999999999993","0"
"7","50","0.05","1","23","1609.6999999999994","1609.6999999999994","0"
"3","50","0","1","30","1922.000000000001","1922.000000000001","0"
"5","50","0","1","19","1364.0000000000002","1364.0000000000002","0"
"2","50","0","1","21","1499.9999999999995","1499.9999999999995","0"
"7","50","0.05","1","24","1649.3999999999996","1649.3999999999996","0"
"4","50","0","1","17","1193.9999999999998","1193.9999999999998","0"
"3","50","0","1","31","2014","2014","0"
"6","50","0.05","1","11","687.6500000000003","687.6500000000003","0"
"1","50","0","1","11","667.0000000000001","667.0000000000001","0"
"7","50","0.05","1","25","1717.85","1717.85","0"
"3","50","0","1","32","2078.0000000000005","2078.0000000000005","0"
"5","50","0","1","20","1485.0000000000002","1485.0000000000002","0"
