"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau"
"04/27/2018 21:44:13:062 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","56","0","30"
"[run number]","N","tau","p","[step]","total-wealth","sum [wealth] of turtles with [ strategy = 0 ]","sum [wealth] of turtles with [ strategy = 1 ]"
"4","50","0","1","0","0","0","0"
"7","50","0.05","1","0","0","0","0"
"3","50","0","1","0","0","0","0"
"6","50","0.05","1","0","0","0","0"
"1","50","0","1","0","0","0","0"
"2","50","0","1","0","0","0","0"
"4","50","0","1","1","50","50","0"
"5","50","0","1","0","0","0","0"
"4","50","0","1","2","100","100","0"
"7","50","0.05","1","1","50","50","0"
"4","50","0","1","3","150","150","0"
"4","50","0","1","4","200","200","0"
"4","50","0","1","5","250","250","0"
"7","50","0.05","1","2","100","100","0"
"4","50","0","1","6","329","329","0"
"7","50","0.05","1","3","150","150","0"
"7","50","0.05","1","4","200","200","0"
"7","50","0.05","1","5","250","250","0"
"4","50","0","1","7","407","407","0"
"7","50","0.05","1","6","334.75","334.75","0"
"3","50","0","1","1","50","50","0"
"1","50","0","1","1","50","50","0"
"4","50","0","1","8","478","478","0"
"4","50","0","1","9","544","544","0"
"7","50","0.05","1","7","412.2999999999999","412.2999999999999","0"
"1","50","0","1","2","100","100","0"
"4","50","0","1","10","561.0000000000001","561.0000000000001","0"
"1","50","0","1","3","150","150","0"
"7","50","0.05","1","8","439.49999999999983","439.49999999999983","0"
"1","50","0","1","4","200","200","0"
"4","50","0","1","11","618","618","0"
"1","50","0","1","5","250","250","0"
"7","50","0.05","1","9","454.89999999999975","454.89999999999975","0"
"7","50","0.05","1","10","538.2999999999998","538.2999999999998","0"
"6","50","0.05","1","1","50","50","0"
"1","50","0","1","6","291","291","0"
"7","50","0.05","1","11","567.0000000000001","567.0000000000001","0"
"3","50","0","1","2","100","100","0"
"4","50","0","1","12","641","641","0"
"6","50","0.05","1","2","100","100","0"
"2","50","0","1","1","50","50","0"
"4","50","0","1","13","663","663","0"
"3","50","0","1","3","150","150","0"
"4","50","0","1","14","682","682","0"
"6","50","0.05","1","3","150","150","0"
"7","50","0.05","1","12","637.0000000000001","637.0000000000001","0"
"3","50","0","1","4","200","200","0"
"4","50","0","1","15","738","738","0"
"6","50","0.05","1","4","200","200","0"
"3","50","0","1","5","250","250","0"
"4","50","0","1","16","794","794","0"
"2","50","0","1","2","100","100","0"
"1","50","0","1","7","363","363","0"
"4","50","0","1","17","845.0000000000001","845.0000000000001","0"
"6","50","0.05","1","5","250","250","0"
"3","50","0","1","6","409.00000000000006","409.00000000000006","0"
"1","50","0","1","8","396","396","0"
"2","50","0","1","3","150","150","0"
"4","50","0","1","18","938.0000000000005","938.0000000000005","0"
