"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary p, tau=0"
"04/27/2018 21:22:46:141 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","56","0","30"
"[run number]","N","tau","p","[step]","total-wealth","sum [wealth] of turtles with [ strategy = 0 ]","sum [wealth] of turtles with [ strategy = 1 ]"
"3","50","0","0","4","375.99999999999994","0","375.99999999999994"
"8","50","0","0","12","643","0","643"
"6","50","0","0","20","910.0000000000001","0","910.0000000000001"
"2","50","0","0","16","893","0","893"
"4","50","0","0","26","1627.0000000000002","0","1627.0000000000002"
"7","50","0","0","21","1534","0","1534"
"5","50","0","0","15","859.9999999999999","0","859.9999999999999"
"6","50","0","0","21","964.0000000000001","0","964.0000000000001"
"1","50","0","0","4","190.99999999999991","0","190.99999999999991"
"3","50","0","0","5","392.0000000000001","0","392.0000000000001"
"2","50","0","0","17","909.9999999999998","0","909.9999999999998"
"4","50","0","0","27","1728.0000000000002","0","1728.0000000000002"
"5","50","0","0","16","1001","0","1001"
"7","50","0","0","22","1551.0000000000005","0","1551.0000000000005"
"6","50","0","0","22","979.0000000000001","0","979.0000000000001"
"4","50","0","0","28","1747.9999999999998","0","1747.9999999999998"
"2","50","0","0","18","970.0000000000003","0","970.0000000000003"
"7","50","0","0","23","1609.0000000000002","0","1609.0000000000002"
"5","50","0","0","17","1027.0000000000002","0","1027.0000000000002"
"3","50","0","0","6","484.00000000000006","0","484.00000000000006"
"4","50","0","0","29","1766.9999999999995","0","1766.9999999999995"
"6","50","0","0","23","1034.9999999999998","0","1034.9999999999998"
"2","50","0","0","19","1033.0000000000002","0","1033.0000000000002"
"7","50","0","0","24","1627.0000000000002","0","1627.0000000000002"
"3","50","0","0","7","505","0","505"
"4","50","0","0","30","1785","0","1785"
"6","50","0","0","24","1053","0","1053"
"2","50","0","0","20","1089.9999999999998","0","1089.9999999999998"
"7","50","0","0","25","1686.9999999999998","0","1686.9999999999998"
"1","50","0","0","5","244.99999999999997","0","244.99999999999997"
"4","50","0","0","31","1799","0","1799"
"6","50","0","0","25","1150.0000000000002","0","1150.0000000000002"
"3","50","0","0","8","597.0000000000002","0","597.0000000000002"
"5","50","0","0","18","1048","0","1048"
"2","50","0","0","21","1223.9999999999998","0","1223.9999999999998"
"7","50","0","0","26","1738.9999999999998","0","1738.9999999999998"
"4","50","0","0","32","1850.9999999999993","0","1850.9999999999993"
"6","50","0","0","26","1170.9999999999998","0","1170.9999999999998"
"5","50","0","0","19","1103.0000000000002","0","1103.0000000000002"
"2","50","0","0","22","1276.9999999999998","0","1276.9999999999998"
"3","50","0","0","9","607","0","607"
"7","50","0","0","27","1794.9999999999998","0","1794.9999999999998"
"4","50","0","0","33","1867.999999999999","0","1867.999999999999"
"6","50","0","0","27","1226.0000000000002","0","1226.0000000000002"
"5","50","0","0","20","1160.9999999999998","0","1160.9999999999998"
"2","50","0","0","23","1290.9999999999998","0","1290.9999999999998"
"7","50","0","0","28","1811.9999999999993","0","1811.9999999999993"
"4","50","0","0","34","1922.9999999999998","0","1922.9999999999998"
"6","50","0","0","28","1326.9999999999995","0","1326.9999999999995"
"3","50","0","0","10","664","0","664"
"5","50","0","0","21","1182","0","1182"
"2","50","0","0","24","1433.9999999999995","0","1433.9999999999995"
"7","50","0","0","29","1945.9999999999993","0","1945.9999999999993"
"4","50","0","0","35","1944.9999999999993","0","1944.9999999999993"
"6","50","0","0","29","1426.9999999999998","0","1426.9999999999998"
"5","50","0","0","22","1238","0","1238"
"2","50","0","0","25","1485.9999999999995","0","1485.9999999999995"
"7","50","0","0","30","1957.9999999999998","0","1957.9999999999998"
"3","50","0","0","11","763.9999999999999","0","763.9999999999999"
"4","50","0","0","36","1966","0","1966"
"6","50","0","0","30","1518.0000000000002","0","1518.0000000000002"
"8","50","0","0","13","699.9999999999998","0","699.9999999999998"
"5","50","0","0","23","1293.9999999999998","0","1293.9999999999998"
"2","50","0","0","26","1498.9999999999998","0","1498.9999999999998"
"7","50","0","0","31","2015.9999999999995","0","2015.9999999999995"
"4","50","0","0","37","2025","0","2025"
"6","50","0","0","31","1529.0000000000005","0","1529.0000000000005"
"3","50","0","0","12","861","0","861"
"8","50","0","0","14","756","0","756"
"2","50","0","0","27","1517.9999999999998","0","1517.9999999999998"
"7","50","0","0","32","2067","0","2067"
"4","50","0","0","38","2127","0","2127"
"6","50","0","0","32","1544","0","1544"
"3","50","0","0","13","925.0000000000001","0","925.0000000000001"
"2","50","0","0","28","1531.9999999999998","0","1531.9999999999998"
"7","50","0","0","33","2209","0","2209"
"4","50","0","0","39","2138.9999999999995","0","2138.9999999999995"
"6","50","0","0","33","1597.0000000000002","0","1597.0000000000002"
"3","50","0","0","14","937","0","937"
"2","50","0","0","29","1549","0","1549"
"7","50","0","0","34","2267","0","2267"
"8","50","0","0","15","775.0000000000002","0","775.0000000000002"
"4","50","0","0","40","2192.9999999999995","0","2192.9999999999995"
"6","50","0","0","34","1652","0","1652"
"3","50","0","0","15","951.9999999999999","0","951.9999999999999"
"2","50","0","0","30","1645.9999999999998","0","1645.9999999999998"
"7","50","0","0","35","2283.9999999999995","0","2283.9999999999995"
"8","50","0","0","16","796","0","796"
"4","50","0","0","41","2213","0","2213"
"5","50","0","0","24","1306","0","1306"
"6","50","0","0","35","1787.9999999999993","0","1787.9999999999993"
"2","50","0","0","31","1743.0000000000002","0","1743.0000000000002"
"7","50","0","0","36","2301","0","2301"
"8","50","0","0","17","812.0000000000001","0","812.0000000000001"
"4","50","0","0","42","2234.000000000001","0","2234.000000000001"
"5","50","0","0","25","1322.0000000000002","0","1322.0000000000002"
"6","50","0","0","36","1804","0","1804"
"7","50","0","0","37","2352.0000000000005","0","2352.0000000000005"
"8","50","0","0","18","864.0000000000002","0","864.0000000000002"
"4","50","0","0","43","2375","0","2375"
"2","50","0","0","32","1878","0","1878"
"5","50","0","0","26","1342","0","1342"
"6","50","0","0","37","1896","0","1896"
"7","50","0","0","38","2405","0","2405"
"8","50","0","0","19","882.9999999999999","0","882.9999999999999"
"4","50","0","0","44","2429","0","2429"
"5","50","0","0","27","1437.9999999999995","0","1437.9999999999995"
"6","50","0","0","38","1913.9999999999998","0","1913.9999999999998"
"8","50","0","0","20","944","0","944"
"7","50","0","0","39","2418.999999999999","0","2418.999999999999"
"4","50","0","0","45","2447","0","2447"
"5","50","0","0","28","1579","0","1579"
"6","50","0","0","39","1932.9999999999998","0","1932.9999999999998"
"1","50","0","0","6","345","0","345"
"8","50","0","0","21","996.0000000000002","0","996.0000000000002"
"2","50","0","0","33","1929.9999999999998","0","1929.9999999999998"
"4","50","0","0","46","2458.9999999999995","0","2458.9999999999995"
"5","50","0","0","29","1591","0","1591"
"3","50","0","0","16","964.9999999999999","0","964.9999999999999"
"6","50","0","0","40","1951.9999999999998","0","1951.9999999999998"
"1","50","0","0","7","357.00000000000006","0","357.00000000000006"
"8","50","0","0","22","1089.9999999999995","0","1089.9999999999995"
"2","50","0","0","34","1947.9999999999995","0","1947.9999999999995"
"5","50","0","0","30","1609","0","1609"
"4","50","0","0","47","2591","0","2591"
"1","50","0","0","8","491.00000000000006","0","491.00000000000006"
"6","50","0","0","41","2005.0000000000005","0","2005.0000000000005"
"8","50","0","0","23","1225","0","1225"
"5","50","0","0","31","1624.0000000000007","0","1624.0000000000007"
"1","50","0","0","9","546.0000000000001","0","546.0000000000001"
"4","50","0","0","48","2603","0","2603"
"6","50","0","0","42","2137.0000000000005","0","2137.0000000000005"
"8","50","0","0","24","1241.9999999999998","0","1241.9999999999998"
"3","50","0","0","17","981.0000000000001","0","981.0000000000001"
"5","50","0","0","32","1755.9999999999998","0","1755.9999999999998"
"1","50","0","0","10","604","0","604"
"4","50","0","0","49","2702","0","2702"
"6","50","0","0","43","2155.0000000000005","0","2155.0000000000005"
"8","50","0","0","25","1259.9999999999998","0","1259.9999999999998"
"2","50","0","0","35","2000.0000000000002","0","2000.0000000000002"
"3","50","0","0","18","1076.0000000000002","0","1076.0000000000002"
"1","50","0","0","11","621.9999999999998","0","621.9999999999998"
"5","50","0","0","33","1811.999999999999","0","1811.999999999999"
"4","50","0","0","50","2837.0000000000005","0","2837.0000000000005"
"6","50","0","0","44","2211","0","2211"
"8","50","0","0","26","1398","0","1398"
"1","50","0","0","12","716.9999999999998","0","716.9999999999998"
"2","50","0","0","36","2015","0","2015"
"7","50","0","0","40","2433.0000000000005","0","2433.0000000000005"
"3","50","0","0","19","1134","0","1134"
"5","50","0","0","34","1868.999999999999","0","1868.999999999999"
"4","50","0","0","51","2890.9999999999995","0","2890.9999999999995"
"6","50","0","0","45","2344","0","2344"
"8","50","0","0","27","1415.0000000000002","0","1415.0000000000002"
"3","50","0","0","20","1232.0000000000002","0","1232.0000000000002"
"5","50","0","0","35","1926.9999999999998","0","1926.9999999999998"
"2","50","0","0","37","2031.0000000000005","0","2031.0000000000005"
"4","50","0","0","52","2951","0","2951"
"8","50","0","0","28","1471.0000000000002","0","1471.0000000000002"
"6","50","0","0","46","2401.0000000000005","0","2401.0000000000005"
"1","50","0","0","13","769.9999999999998","0","769.9999999999998"
"3","50","0","0","21","1327","0","1327"
"5","50","0","0","36","1944.9999999999998","0","1944.9999999999998"
"2","50","0","0","38","2092","0","2092"
"8","50","0","0","29","1607.0000000000002","0","1607.0000000000002"
"4","50","0","0","53","3005.9999999999995","0","3005.9999999999995"
"6","50","0","0","47","2413.9999999999995","0","2413.9999999999995"
"1","50","0","0","14","795.9999999999999","0","795.9999999999999"
"7","50","0","0","41","2490.999999999999","0","2490.999999999999"
"5","50","0","0","37","2084","0","2084"
"3","50","0","0","22","1418","0","1418"
"2","50","0","0","39","2189.0000000000005","0","2189.0000000000005"
"8","50","0","0","30","1667.0000000000002","0","1667.0000000000002"
"6","50","0","0","48","2437.9999999999995","0","2437.9999999999995"
"1","50","0","0","15","808","0","808"
"6","50","0","0","49","2450.9999999999995","0","2450.9999999999995"
"7","50","0","0","42","2587.0000000000005","0","2587.0000000000005"
"2","50","0","0","40","2251.999999999999","0","2251.999999999999"
"8","50","0","0","31","1725","0","1725"
"3","50","0","0","23","1558","0","1558"
"1","50","0","0","16","863.0000000000003","0","863.0000000000003"
"6","50","0","0","50","2462","0","2462"
"2","50","0","0","41","2310","0","2310"
"1","50","0","0","17","916","0","916"
"8","50","0","0","32","1816.9999999999998","0","1816.9999999999998"
"7","50","0","0","43","2607.0000000000005","0","2607.0000000000005"
"3","50","0","0","24","1616.9999999999998","0","1616.9999999999998"
"2","50","0","0","42","2368.9999999999995","0","2368.9999999999995"
"6","50","0","0","51","2480.9999999999995","0","2480.9999999999995"
"1","50","0","0","18","973","0","973"
"7","50","0","0","44","2623.0000000000005","0","2623.0000000000005"
"2","50","0","0","43","2421","0","2421"
"4","50","0","0","54","3066","0","3066"
"6","50","0","0","52","2625.999999999999","0","2625.999999999999"
"1","50","0","0","19","1029.0000000000002","0","1029.0000000000002"
"5","50","0","0","38","2185.9999999999995","0","2185.9999999999995"
"7","50","0","0","45","2643.9999999999995","0","2643.9999999999995"
"2","50","0","0","44","2475.999999999999","0","2475.999999999999"
"8","50","0","0","33","1835","0","1835"
"4","50","0","0","55","3126","0","3126"
"6","50","0","0","53","2767.999999999999","0","2767.999999999999"
"5","50","0","0","39","2248","0","2248"
"1","50","0","0","20","1172.0000000000002","0","1172.0000000000002"
"7","50","0","0","46","2661.9999999999995","0","2661.9999999999995"
"2","50","0","0","45","2572.9999999999995","0","2572.9999999999995"
"8","50","0","0","34","1855.9999999999998","0","1855.9999999999998"
"6","50","0","0","54","2819.9999999999995","0","2819.9999999999995"
"4","50","0","0","56","3258","0","3258"
"5","50","0","0","40","2262.9999999999986","0","2262.9999999999986"
"8","50","0","0","35","1909.0000000000002","0","1909.0000000000002"
"7","50","0","0","47","2798","0","2798"
"6","50","0","0","55","2876.9999999999995","0","2876.9999999999995"
"5","50","0","0","41","2282","0","2282"
"1","50","0","0","21","1267.9999999999998","0","1267.9999999999998"
"8","50","0","0","36","2043","0","2043"
"2","50","0","0","46","2631.9999999999995","0","2631.9999999999995"
"7","50","0","0","48","2855.999999999999","0","2855.999999999999"
"6","50","0","0","56","2891.9999999999995","0","2891.9999999999995"
"8","50","0","0","37","2058.9999999999995","0","2058.9999999999995"
"3","50","0","0","25","1632","0","1632"
"5","50","0","0","42","2341","0","2341"
"1","50","0","0","22","1370","0","1370"
"7","50","0","0","49","2994.0000000000005","0","2994.0000000000005"
"8","50","0","0","38","2185.9999999999995","0","2185.9999999999995"
"6","50","0","0","57","2942.9999999999995","0","2942.9999999999995"
"3","50","0","0","26","1769.0000000000002","0","1769.0000000000002"
"1","50","0","0","23","1421.9999999999998","0","1421.9999999999998"
"4","50","0","0","57","3400","0","3400"
"2","50","0","0","47","2682","0","2682"
"7","50","0","0","50","3089.000000000001","0","3089.000000000001"
"8","50","0","0","39","2204.0000000000005","0","2204.0000000000005"
"3","50","0","0","27","1908.0000000000002","0","1908.0000000000002"
"6","50","0","0","58","3037.9999999999995","0","3037.9999999999995"
"1","50","0","0","24","1433.9999999999998","0","1433.9999999999998"
"4","50","0","0","58","3413.0000000000005","0","3413.0000000000005"
"2","50","0","0","48","2732.999999999999","0","2732.999999999999"
"3","50","0","0","28","1964","0","1964"
"7","50","0","0","51","3104.9999999999995","0","3104.9999999999995"
"6","50","0","0","59","3047.9999999999995","0","3047.9999999999995"
"1","50","0","0","25","1490.0000000000002","0","1490.0000000000002"
"4","50","0","0","59","3468.0000000000005","0","3468.0000000000005"
"3","50","0","0","29","1978.0000000000002","0","1978.0000000000002"
"7","50","0","0","52","3120","0","3120"
"6","50","0","0","60","3184.0000000000005","0","3184.0000000000005"
"1","50","0","0","26","1546.0000000000002","0","1546.0000000000002"
"8","50","0","0","40","2219","0","2219"
"4","50","0","0","60","3526","0","3526"
"7","50","0","0","53","3178.999999999999","0","3178.999999999999"
"5","50","0","0","43","2441.9999999999995","0","2441.9999999999995"
"6","50","0","0","61","3245.999999999999","0","3245.999999999999"
"1","50","0","0","27","1645.0000000000005","0","1645.0000000000005"
"3","50","0","0","30","2034","0","2034"
"4","50","0","0","61","3581.0000000000005","0","3581.0000000000005"
"2","50","0","0","49","2788.9999999999995","0","2788.9999999999995"
"7","50","0","0","54","3233.0000000000005","0","3233.0000000000005"
"5","50","0","0","44","2535.9999999999995","0","2535.9999999999995"
"1","50","0","0","28","1701.9999999999993","0","1701.9999999999993"
"6","50","0","0","62","3261","0","3261"
"8","50","0","0","41","2237","0","2237"
"4","50","0","0","62","3605.000000000001","0","3605.000000000001"
"5","50","0","0","45","2547.9999999999995","0","2547.9999999999995"
"7","50","0","0","55","3372","0","3372"
