"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau, measure agent variance"
"05/14/2018 23:04:25:507 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","106","0","15"
"[run number]","N","tau","p","[step]","total-wealth","get-for-pool recent-agent-history 0","get-for-pool recent-agent-history 1","get-for-pool recent-agent-history 2","agent-variance"
"7","50","0","0","13","646.0000000000001","12","34","4","148.62222222222223"
"6","50","0","0","16","823.0000000000001","1","1","48","169.9333333333333"
"3","50","0","0","16","467.9999999999999","0","50","0","236.37777777777777"
"2","50","0","0","17","953.9999999999999","9","29","12","124.64444444444445"
"8","50","0","0","16","945.9999999999998","0","50","0","198.8814814814815"
"7","50","0","0","14","665.0000000000001","19","3","28","160.68888888888887"
"6","50","0","0","17","833","10","13","27","173.4"
"5","50","0","0","15","597","13","12","25","170.23703703703703"
"2","50","0","0","18","1022","28","11","11","133.45925925925926"
"3","50","0","0","17","470","2","25","23","237.54814814814813"
"4","50","0","0","10","618.0000000000001","1","4","45","126.52592592592593"
"6","50","0","0","18","888.9999999999999","16","30","4","177.9333333333333"
"7","50","0","0","15","714","9","38","3","178.14074074074074"
"1","50","0","0","5","233.0000000000001","0","41","9","0"
"5","50","0","0","16","596.9999999999999","0","48","2","199.57037037037037"
"6","50","0","0","19","903","14","19","17","179.79999999999998"
"8","50","0","0","17","986.0000000000001","0","3","47","198.01481481481483"
"7","50","0","0","16","758.0000000000001","4","15","31","169.75555555555556"
"2","50","0","0","19","1063.9999999999995","2","23","25","134.54074074074074"
"3","50","0","0","18","519","9","15","26","235.4"
"8","50","0","0","18","1001","15","14","21","195.6962962962963"
"2","50","0","0","20","1065","1","0","49","167.42962962962963"
"4","50","0","0","11","658.0000000000002","0","47","3","162.32592592592593"
"3","50","0","0","19","545.9999999999999","27","16","7","244.4888888888889"
"6","50","0","0","20","942.9999999999994","0","42","8","177.23703703703708"
"8","50","0","0","19","1050","9","25","16","194.76296296296297"
"2","50","0","0","21","1064.9999999999998","0","46","4","202.85185185185185"
"5","50","0","0","17","636.9999999999999","0","2","48","224.01481481481483"
"2","50","0","0","22","1073.9999999999998","9","20","21","178.58518518518517"
"7","50","0","0","17","799.0000000000001","1","16","33","145.93333333333337"
"8","50","0","0","20","1184.0000000000002","14","12","24","199.68148148148148"
"1","50","0","0","6","273.00000000000006","0","6","44","0"
"6","50","0","0","21","942.9999999999998","0","1","49","178.74814814814815"
"4","50","0","0","12","676.0000000000001","18","19","13","166.79259259259257"
"2","50","0","0","23","1135","21","23","6","175.9777777777778"
"8","50","0","0","21","1184","0","50","0","199.68148148148148"
"7","50","0","0","18","890","11","28","11","131.83703703703702"
"1","50","0","0","7","287.0000000000001","14","28","8","0"
"3","50","0","0","20","546.0000000000001","0","1","49","244.4888888888889"
"5","50","0","0","18","640.9999999999999","4","36","10","216.2888888888889"
"2","50","0","0","24","1182","7","12","31","177.54814814814813"
"8","50","0","0","22","1224.0000000000005","0","5","45","186.76296296296297"
"7","50","0","0","19","1029","19","6","25","128.34814814814817"
"2","50","0","0","25","1229","7","7","36","156.6740740740741"
"6","50","0","0","22","949.9999999999997","7","13","30","182.49629629629632"
"3","50","0","0","21","586.0000000000001","0","49","1","240.86666666666667"
"4","50","0","0","13","726.0000000000001","10","8","32","175.7703703703704"
"1","50","0","0","8","423.0000000000001","16","10","24","0"
"8","50","0","0","23","1278.0000000000002","14","13","23","189.64444444444447"
"2","50","0","0","26","1228.9999999999998","0","44","6","180.14074074074074"
"7","50","0","0","20","1069.9999999999998","1","47","2","159.05925925925922"
"5","50","0","0","19","777.9999999999999","17","9","24","214.83703703703705"
"8","50","0","0","24","1287.0000000000007","9","25","16","189.17037037037036"
"2","50","0","0","27","1236.9999999999998","8","19","23","175.3407407407407"
"5","50","0","0","20","795.9999999999999","18","10","22","221.23703703703703"
"7","50","0","0","21","1153.9999999999998","4","8","38","173.9333333333333"
"8","50","0","0","25","1344.9999999999998","18","10","22","195.68148148148148"
"6","50","0","0","23","1006.0000000000002","16","31","3","187.58518518518517"
"1","50","0","0","9","474.99999999999994","12","18","20","0"
"2","50","0","0","28","1256","19","27","4","169.1037037037037"
"4","50","0","0","14","741","15","26","9","182.46666666666667"
"5","50","0","0","21","796","0","48","2","233.08148148148143"
"7","50","0","0","22","1279","5","23","22","148.8962962962963"
"8","50","0","0","26","1385.0000000000005","0","50","0","195.68148148148148"
"6","50","0","0","24","1019.9999999999999","14","19","17","189.8962962962963"
"2","50","0","0","29","1263","7","5","38","187.50370370370374"
"3","50","0","0","22","588","2","24","24","240.7851851851852"
"5","50","0","0","22","915.9999999999999","0","2","48","233.08148148148152"
"7","50","0","0","23","1293","14","11","25","136.67407407407407"
"8","50","0","0","27","1425.0000000000005","0","7","43","183.91851851851854"
"2","50","0","0","30","1306.9999999999998","4","15","31","145.74814814814815"
"6","50","0","0","25","1060.0000000000002","0","41","9","184.85925925925926"
"7","50","0","0","24","1317","24","19","7","135.35555555555553"
"5","50","0","0","23","999.9999999999997","4","37","9","231.75555555555556"
"8","50","0","0","28","1436.0000000000002","11","13","26","183.74074074074073"
"2","50","0","0","31","1347","0","42","8","134.9037037037037"
"5","50","0","0","24","1015.9999999999997","16","9","25","229.1185185185185"
"7","50","0","0","25","1396.9999999999998","0","45","5","146.24444444444447"
"6","50","0","0","26","1061","1","2","47","181.45925925925926"
"3","50","0","0","23","637","9","15","26","240.85185185185185"
"8","50","0","0","29","1445.0000000000002","9","25","16","183.74074074074073"
