"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau, measure pool choices"
"05/14/2018 22:07:36:339 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","106","0","15"
"[run number]","N","tau","p","[step]","total-wealth","get-for-pool recent-agent-history 0","get-for-pool recent-agent-history 1","get-for-pool recent-agent-history 2"
"3","50","0","1","21","1178.9999999999998","1","0","49"
"6","50","0","1","17","1237.9999999999995","0","46","4"
"7","50","0","1","13","642.0000000000001","11","25","14"
"5","50","0","1","14","697.9999999999999","18","18","14"
"8","50","0","1","19","574.0000000000001","8","37","5"
"1","50","0","1","8","525.9999999999999","15","13","22"
"6","50","0","1","18","1280.9999999999998","3","7","40"
"7","50","0","1","14","658.9999999999999","17","13","20"
"2","50","0","1","14","622","14","19","17"
"4","50","0","1","19","862.0000000000001","12","22","16"
"3","50","0","1","22","1232.9999999999998","14","32","4"
"6","50","0","1","19","1289.0000000000002","8","34","8"
"5","50","0","1","15","738.0000000000002","0","50","0"
"7","50","0","1","15","659","0","0","50"
"3","50","0","1","23","1235.0000000000005","2","17","31"
"1","50","0","1","9","578.0000000000001","12","27","11"
"4","50","0","1","20","862","0","0","50"
"6","50","0","1","20","1346","17","8","25"
"7","50","0","1","16","659.0000000000002","0","46","4"
"5","50","0","1","16","781.9999999999999","4","21","25"
"2","50","0","1","15","742","0","4","46"
"7","50","0","1","17","669","10","22","18"
"8","50","0","1","20","616.0000000000002","2","1","47"
"6","50","0","1","21","1395.9999999999998","10","17","23"
"5","50","0","1","17","783.9999999999999","2","0","48"
"3","50","0","1","24","1255.9999999999995","21","8","21"
"2","50","0","1","16","781.9999999999997","0","50","0"
"7","50","0","1","18","717.9999999999999","9","28","13"
"8","50","0","1","21","619.9999999999999","4","40","6"
"6","50","0","1","22","1398","2","43","5"
"4","50","0","1","21","863","1","41","8"
"5","50","0","1","18","788.9999999999999","5","15","30"
"2","50","0","1","17","829.9999999999997","8","11","31"
"3","50","0","1","25","1296.0000000000007","0","49","1"
"7","50","0","1","19","775.0000000000001","17","13","20"
"5","50","0","1","19","811.9999999999999","23","19","8"
"4","50","0","1","22","870.9999999999999","8","28","14"
"1","50","0","1","10","577.9999999999999","0","40","10"
"6","50","0","1","23","1477.9999999999995","0","3","47"
"8","50","0","1","22","677.0000000000002","17","17","16"
"3","50","0","1","26","1296.9999999999998","1","0","49"
"2","50","0","1","18","887.0000000000001","17","22","11"
"7","50","0","1","20","775","0","0","50"
"4","50","0","1","23","887","16","15","19"
"5","50","0","1","20","811.9999999999999","0","50","0"
"3","50","0","1","27","1310.9999999999995","14","32","4"
"8","50","0","1","23","684","7","10","33"
"2","50","0","1","19","1021.9999999999999","15","19","16"
"6","50","0","1","24","1523.9999999999998","6","36","8"
"8","50","0","1","24","690.0000000000001","6","40","4"
"3","50","0","1","28","1313","2","17","31"
"1","50","0","1","11","578.0000000000001","0","0","50"
"4","50","0","1","24","939.9999999999998","13","22","15"
"7","50","0","1","21","776.9999999999999","2","43","5"
"5","50","0","1","21","820.9999999999999","9","30","11"
"2","50","0","1","20","1142.0000000000002","0","3","47"
"3","50","0","1","29","1334","21","8","21"
"8","50","0","1","25","730.0000000000003","0","3","47"
"5","50","0","1","22","821.9999999999999","1","0","49"
"3","50","0","1","30","1334.0000000000005","0","49","1"
"2","50","0","1","21","1181.9999999999998","0","50","0"
"1","50","0","1","12","628.0000000000001","10","25","15"
"8","50","0","1","26","738","8","36","6"
"7","50","0","1","22","867.0000000000003","10","22","18"
"6","50","0","1","25","1533.9999999999998","10","8","32"
"3","50","0","1","31","1415","1","0","49"
"4","50","0","1","25","939.9999999999999","0","0","50"
"8","50","0","1","27","754.0000000000002","16","18","16"
"7","50","0","1","23","872.0000000000005","5","33","12"
"3","50","0","1","32","1429.0000000000007","14","32","4"
"5","50","0","1","23","945.0000000000003","3","5","42"
"1","50","0","1","13","683.0000000000003","15","12","23"
"8","50","0","1","28","802.0000000000002","8","9","33"
"3","50","0","1","33","1471","2","17","31"
"4","50","0","1","26","980.0000000000001","0","41","9"
"6","50","0","1","26","1593.9999999999998","20","21","9"
"5","50","0","1","24","970.0000000000001","25","13","12"
"7","50","0","1","24","1011.0000000000002","19","11","20"
"8","50","0","1","29","928.0000000000001","6","40","4"
"1","50","0","1","14","739","16","30","4"
"5","50","0","1","25","970.0000000000002","0","49","1"
"2","50","0","1","22","1268.0000000000002","6","12","32"
"6","50","0","1","27","1714","0","37","13"
"4","50","0","1","27","1029.0000000000002","9","28","13"
"3","50","0","1","34","1492","21","8","21"
"8","50","0","1","30","1007.9999999999999","0","4","46"
"4","50","0","1","28","1043.0000000000002","14","15","21"
"7","50","0","1","25","1011.0000000000002","0","0","50"
"6","50","0","1","28","1715.0000000000002","1","2","47"
"3","50","0","1","35","1492.0000000000002","0","49","1"
"5","50","0","1","26","1013.0000000000003","3","42","5"
"1","50","0","1","15","778.9999999999999","0","38","12"
"8","50","0","1","31","1019","11","33","6"
"3","50","0","1","36","1573","1","0","49"
"7","50","0","1","26","1056","5","37","8"
"4","50","0","1","29","1058","15","22","13"
"5","50","0","1","27","1057","4","7","39"
"6","50","0","1","29","1722.0000000000005","7","37","6"
"2","50","0","1","23","1285.9999999999998","18","21","11"
"7","50","0","1","27","1147","11","24","15"
"5","50","0","1","28","1057","0","3","47"
"3","50","0","1","37","1587.0000000000002","14","32","4"
"1","50","0","1","16","858.9999999999999","0","0","50"
"4","50","0","1","30","1058","0","0","50"
"8","50","0","1","32","1027.0000000000002","8","25","17"
"6","50","0","1","30","1847","5","9","36"
"5","50","0","1","29","1081.0000000000005","24","7","19"
"7","50","0","1","28","1231.0000000000002","4","35","11"
"3","50","0","1","38","1629","2","17","31"
"8","50","0","1","33","1039","12","4","34"
"5","50","0","1","30","1132.0000000000002","11","38","1"
"4","50","0","1","31","1178.0000000000002","0","41","9"
"2","50","0","1","24","1341.0000000000002","15","20","15"
"7","50","0","1","29","1250.9999999999995","20","10","20"
"8","50","0","1","34","1080.9999999999995","2","45","3"
"3","50","0","1","39","1690.0000000000005","21","8","21"
"5","50","0","1","31","1132","0","47","3"
"1","50","0","1","17","986.0000000000001","7","23","20"
"7","50","0","1","30","1251.0000000000002","0","0","50"
"8","50","0","1","35","1081","0","4","46"
"5","50","0","1","32","1138","6","13","31"
"6","50","0","1","31","1908.0000000000002","21","25","4"
"4","50","0","1","32","1226","8","28","14"
"7","50","0","1","31","1296","5","33","12"
"1","50","0","1","18","1043","17","12","21"
"8","50","0","1","36","1100.9999999999998","20","24","6"
"5","50","0","1","33","1139","1","3","46"
"3","50","0","1","40","1729.9999999999993","0","49","1"
"2","50","0","1","25","1381.0000000000002","0","2","48"
"1","50","0","1","19","1090.9999999999998","8","39","3"
"5","50","0","1","34","1188.0000000000005","9","8","33"
"8","50","0","1","37","1224.9999999999998","4","30","16"
"7","50","0","1","32","1347","11","25","14"
"3","50","0","1","41","1730.9999999999995","1","0","49"
"4","50","0","1","33","1281.0000000000005","15","15","20"
"5","50","0","1","35","1243.0000000000007","15","33","2"
"1","50","0","1","20","1138.9999999999998","8","29","13"
"8","50","0","1","38","1318.0000000000007","13","2","35"
"6","50","0","1","32","1912.0000000000007","4","27","19"
"2","50","0","1","26","1501.0000000000002","0","49","1"
"3","50","0","1","42","1784.9999999999995","14","32","4"
"5","50","0","1","36","1242.9999999999998","0","47","3"
"8","50","0","1","39","1320","2","46","2"
"4","50","0","1","34","1295.9999999999998","15","22","13"
"7","50","0","1","33","1349.0000000000005","2","39","9"
"5","50","0","1","37","1258","15","20","15"
"1","50","0","1","21","1259.0000000000002","0","1","49"
"7","50","0","1","34","1446.9999999999998","18","12","20"
"6","50","0","1","33","1922.0000000000005","10","3","37"
"4","50","0","1","35","1295.9999999999998","0","0","50"
"3","50","0","1","43","1826.9999999999998","2","17","31"
"8","50","0","1","40","1441.0000000000002","1","5","44"
"2","50","0","1","27","1508.0000000000005","7","12","31"
"6","50","0","1","34","2044.0000000000007","2","42","6"
"5","50","0","1","38","1298.0000000000007","0","1","49"
"4","50","0","1","36","1296","0","41","9"
"2","50","0","1","28","1564.9999999999998","17","22","11"
"8","50","0","1","41","1504","23","20","7"
"5","50","0","1","39","1301","3","6","41"
"7","50","0","1","35","1447","0","0","50"
"3","50","0","1","44","1887.9999999999998","21","8","21"
